date,how can i delete facebook
2011-01-01,51
2011-02-01,53
2011-03-01,47
2011-04-01,55
2011-05-01,53
2011-06-01,64
2011-07-01,67
2011-08-01,76
2011-09-01,73
2011-10-01,78
2011-11-01,82
2011-12-01,98
2012-01-01,89
2012-02-01,100
2012-03-01,88
2012-04-01,82
2012-05-01,73
2012-06-01,78
2012-07-01,80
2012-08-01,88
2012-09-01,85
2012-10-01,71
2012-11-01,66
2012-12-01,72
2013-01-01,79
2013-02-01,76
2013-03-01,72
2013-04-01,67
2013-05-01,62
2013-06-01,62
2013-07-01,65
2013-08-01,65
2013-09-01,58
2013-10-01,58
2013-11-01,61
2013-12-01,57
2014-01-01,63
2014-02-01,62
2014-03-01,57
2014-04-01,57
2014-05-01,62
2014-06-01,61
2014-07-01,63
2014-08-01,65
2014-09-01,58
2014-10-01,55
2014-11-01,51
2014-12-01,58
2015-01-01,61
2015-02-01,58
2015-03-01,52
2015-04-01,54
2015-05-01,50
2015-06-01,59
2015-07-01,57
2015-08-01,59
2015-09-01,56
2015-10-01,52
2015-11-01,53
2015-12-01,56
2016-01-01,60
2016-02-01,55
2016-03-01,54
2016-04-01,54
2016-05-01,55
2016-06-01,59
2016-07-01,59
2016-08-01,61
2016-09-01,59
2016-10-01,58
2016-11-01,59
2016-12-01,58
2017-01-01,64
