date,delete fb account
2011-01-01,6
2011-02-01,7
2011-03-01,6
2011-04-01,6
2011-05-01,6
2011-06-01,7
2011-07-01,8
2011-08-01,11
2011-09-01,11
2011-10-01,9
2011-11-01,13
2011-12-01,13
2012-01-01,13
2012-02-01,14
2012-03-01,13
2012-04-01,14
2012-05-01,16
2012-06-01,16
2012-07-01,17
2012-08-01,18
2012-09-01,20
2012-10-01,20
2012-11-01,19
2012-12-01,22
2013-01-01,20
2013-02-01,22
2013-03-01,22
2013-04-01,25
2013-05-01,23
2013-06-01,28
2013-07-01,26
2013-08-01,28
2013-09-01,27
2013-10-01,27
2013-11-01,24
2013-12-01,29
2014-01-01,34
2014-02-01,32
2014-03-01,29
2014-04-01,32
2014-05-01,39
2014-06-01,37
2014-07-01,43
2014-08-01,39
2014-09-01,34
2014-10-01,36
2014-11-01,35
2014-12-01,38
2015-01-01,40
2015-02-01,42
2015-03-01,38
2015-04-01,49
2015-05-01,51
2015-06-01,54
2015-07-01,49
2015-08-01,50
2015-09-01,53
2015-10-01,45
2015-11-01,46
2015-12-01,50
2016-01-01,51
2016-02-01,53
2016-03-01,58
2016-04-01,59
2016-05-01,56
2016-06-01,61
2016-07-01,75
2016-08-01,79
2016-09-01,65
2016-10-01,60
2016-11-01,68
2016-12-01,98
2017-01-01,100
