date,delete my facebook account
2011-01-01,59
2011-02-01,51
2011-03-01,41
2011-04-01,48
2011-05-01,50
2011-06-01,57
2011-07-01,65
2011-08-01,85
2011-09-01,86
2011-10-01,83
2011-11-01,91
2011-12-01,95
2012-01-01,100
2012-02-01,93
2012-03-01,86
2012-04-01,70
2012-05-01,69
2012-06-01,65
2012-07-01,61
2012-08-01,62
2012-09-01,63
2012-10-01,71
2012-11-01,64
2012-12-01,61
2013-01-01,55
2013-02-01,69
2013-03-01,64
2013-04-01,53
2013-05-01,50
2013-06-01,53
2013-07-01,64
2013-08-01,65
2013-09-01,52
2013-10-01,47
2013-11-01,53
2013-12-01,63
2014-01-01,57
2014-02-01,53
2014-03-01,51
2014-04-01,52
2014-05-01,62
2014-06-01,59
2014-07-01,56
2014-08-01,58
2014-09-01,57
2014-10-01,53
2014-11-01,49
2014-12-01,55
2015-01-01,56
2015-02-01,55
2015-03-01,54
2015-04-01,52
2015-05-01,52
2015-06-01,58
2015-07-01,59
2015-08-01,62
2015-09-01,55
2015-10-01,54
2015-11-01,51
2015-12-01,50
2016-01-01,58
2016-02-01,55
2016-03-01,54
2016-04-01,51
2016-05-01,56
2016-06-01,69
2016-07-01,68
2016-08-01,60
2016-09-01,59
2016-10-01,65
2016-11-01,71
2016-12-01,64
2017-01-01,68
