date,history google chrome,how to delete a google account
2011-01-01,79,6
2011-02-01,74,5
2011-03-01,70,5
2011-04-01,73,6
2011-05-01,82,7
2011-06-01,89,8
2011-07-01,96,9
2011-08-01,100,8
2011-09-01,95,11
2011-10-01,84,10
2011-11-01,80,9
2011-12-01,89,9
2012-01-01,88,12
2012-02-01,94,8
2012-03-01,82,8
2012-04-01,82,8
2012-05-01,86,9
2012-06-01,96,9
2012-07-01,86,11
2012-08-01,91,12
2012-09-01,88,11
2012-10-01,91,9
2012-11-01,85,9
2012-12-01,85,11
2013-01-01,85,11
2013-02-01,84,12
2013-03-01,84,10
2013-04-01,81,11
2013-05-01,79,12
2013-06-01,85,13
2013-07-01,86,15
2013-08-01,77,14
2013-09-01,75,14
2013-10-01,74,13
2013-11-01,72,15
2013-12-01,80,16
2014-01-01,80,16
2014-02-01,74,17
2014-03-01,72,16
2014-04-01,72,15
2014-05-01,74,15
2014-06-01,73,16
2014-07-01,68,17
2014-08-01,71,17
2014-09-01,72,15
2014-10-01,67,14
2014-11-01,66,15
2014-12-01,69,16
2015-01-01,66,14
2015-02-01,67,13
2015-03-01,68,13
2015-04-01,63,13
2015-05-01,64,13
2015-06-01,66,14
2015-07-01,62,15
2015-08-01,63,16
2015-09-01,78,15
2015-10-01,63,14
2015-11-01,63,14
2015-12-01,68,15
2016-01-01,66,18
2016-02-01,62,14
2016-03-01,61,14
2016-04-01,64,15
2016-05-01,62,15
2016-06-01,55,14
2016-07-01,62,19
2016-08-01,62,18
2016-09-01,68,16
2016-10-01,67,17
2016-11-01,67,15
2016-12-01,71,18
2017-01-01,71,18
