date,my activity google,how to delete a google account
2011-01-01,1,10
2011-02-01,2,7
2011-03-01,2,8
2011-04-01,2,8
2011-05-01,2,8
2011-06-01,1,9
2011-07-01,1,14
2011-08-01,2,13
2011-09-01,2,15
2011-10-01,3,13
2011-11-01,3,13
2011-12-01,2,13
2012-01-01,2,15
2012-02-01,2,10
2012-03-01,2,11
2012-04-01,2,11
2012-05-01,2,12
2012-06-01,2,13
2012-07-01,1,14
2012-08-01,2,17
2012-09-01,2,15
2012-10-01,3,11
2012-11-01,2,13
2012-12-01,2,15
2013-01-01,2,16
2013-02-01,2,15
2013-03-01,3,13
2013-04-01,3,16
2013-05-01,3,17
2013-06-01,3,17
2013-07-01,2,20
2013-08-01,3,19
2013-09-01,3,18
2013-10-01,3,20
2013-11-01,4,19
2013-12-01,4,21
2014-01-01,4,23
2014-02-01,4,23
2014-03-01,3,22
2014-04-01,4,20
2014-05-01,3,20
2014-06-01,3,20
2014-07-01,3,24
2014-08-01,3,21
2014-09-01,5,20
2014-10-01,5,20
2014-11-01,4,21
2014-12-01,4,19
2015-01-01,4,20
2015-02-01,5,18
2015-03-01,5,17
2015-04-01,6,17
2015-05-01,4,19
2015-06-01,4,21
2015-07-01,5,20
2015-08-01,5,22
2015-09-01,5,20
2015-10-01,6,20
2015-11-01,5,18
2015-12-01,5,20
2016-01-01,7,22
2016-02-01,6,19
2016-03-01,5,18
2016-04-01,7,21
2016-05-01,6,19
2016-06-01,48,20
2016-07-01,100,26
2016-08-01,42,24
2016-09-01,49,21
2016-10-01,51,21
2016-11-01,52,20
2016-12-01,55,24
2017-01-01,54,24
