date,how to reactivate instagram,how to delete a google account
2011-01-01,0,39
2011-02-01,0,27
2011-03-01,0,31
2011-04-01,0,32
2011-05-01,0,32
2011-06-01,0,37
2011-07-01,0,53
2011-08-01,1,51
2011-09-01,1,57
2011-10-01,1,51
2011-11-01,1,50
2011-12-01,1,51
2012-01-01,1,56
2012-02-01,1,40
2012-03-01,1,41
2012-04-01,6,44
2012-05-01,3,45
2012-06-01,5,49
2012-07-01,7,56
2012-08-01,5,67
2012-09-01,8,58
2012-10-01,7,41
2012-11-01,5,48
2012-12-01,13,59
2013-01-01,12,61
2013-02-01,7,59
2013-03-01,11,51
2013-04-01,9,62
2013-05-01,17,65
2013-06-01,16,65
2013-07-01,15,76
2013-08-01,13,74
2013-09-01,14,71
2013-10-01,9,78
2013-11-01,12,75
2013-12-01,12,80
2014-01-01,10,90
2014-02-01,13,90
2014-03-01,9,87
2014-04-01,14,78
2014-05-01,11,78
2014-06-01,16,78
2014-07-01,15,93
2014-08-01,13,82
2014-09-01,9,77
2014-10-01,9,77
2014-11-01,11,83
2014-12-01,10,72
2015-01-01,10,77
2015-02-01,11,69
2015-03-01,11,68
2015-04-01,13,67
2015-05-01,10,75
2015-06-01,12,81
2015-07-01,18,78
2015-08-01,30,86
2015-09-01,24,79
2015-10-01,18,77
2015-11-01,25,70
2015-12-01,26,77
2016-01-01,25,87
2016-02-01,26,75
2016-03-01,26,71
2016-04-01,29,82
2016-05-01,27,75
2016-06-01,35,76
2016-07-01,33,100
2016-08-01,37,92
2016-09-01,33,79
2016-10-01,33,82
2016-11-01,30,78
2016-12-01,44,94
2017-01-01,42,92
