date,view google history,how to delete a google account
2011-01-01,48,34
2011-02-01,50,28
2011-03-01,44,28
2011-04-01,47,31
2011-05-01,47,35
2011-06-01,52,39
2011-07-01,54,50
2011-08-01,54,48
2011-09-01,51,58
2011-10-01,55,52
2011-11-01,43,51
2011-12-01,47,51
2012-01-01,46,60
2012-02-01,59,41
2012-03-01,55,40
2012-04-01,48,43
2012-05-01,49,46
2012-06-01,60,49
2012-07-01,60,56
2012-08-01,60,69
2012-09-01,66,57
2012-10-01,64,42
2012-11-01,60,49
2012-12-01,64,57
2013-01-01,66,60
2013-02-01,67,60
2013-03-01,63,52
2013-04-01,64,62
2013-05-01,65,66
2013-06-01,64,67
2013-07-01,65,79
2013-08-01,68,73
2013-09-01,67,69
2013-10-01,67,76
2013-11-01,60,78
2013-12-01,61,83
2014-01-01,64,87
2014-02-01,69,89
2014-03-01,65,85
2014-04-01,70,81
2014-05-01,66,81
2014-06-01,65,81
2014-07-01,69,89
2014-08-01,66,87
2014-09-01,74,78
2014-10-01,81,76
2014-11-01,72,81
2014-12-01,72,75
2015-01-01,71,78
2015-02-01,60,70
2015-03-01,70,69
2015-04-01,78,69
2015-05-01,81,73
2015-06-01,71,78
2015-07-01,72,79
2015-08-01,71,86
2015-09-01,84,78
2015-10-01,83,76
2015-11-01,74,75
2015-12-01,82,77
2016-01-01,79,92
2016-02-01,82,75
2016-03-01,81,72
2016-04-01,99,80
2016-05-01,97,76
2016-06-01,99,77
2016-07-01,94,99
2016-08-01,84,94
2016-09-01,83,83
2016-10-01,91,83
2016-11-01,89,80
2016-12-01,92,95
2017-01-01,100,92
