date,gmail sign out android,how to delete a google account
2011-01-01,5,39
2011-02-01,4,27
2011-03-01,5,31
2011-04-01,6,32
2011-05-01,5,32
2011-06-01,5,37
2011-07-01,8,53
2011-08-01,9,51
2011-09-01,7,57
2011-10-01,12,51
2011-11-01,11,50
2011-12-01,14,51
2012-01-01,13,56
2012-02-01,13,40
2012-03-01,14,41
2012-04-01,17,44
2012-05-01,11,45
2012-06-01,12,49
2012-07-01,22,56
2012-08-01,26,67
2012-09-01,26,58
2012-10-01,20,41
2012-11-01,20,48
2012-12-01,21,59
2013-01-01,24,61
2013-02-01,20,59
2013-03-01,29,51
2013-04-01,22,62
2013-05-01,32,65
2013-06-01,36,65
2013-07-01,34,76
2013-08-01,37,74
2013-09-01,36,71
2013-10-01,37,78
2013-11-01,38,75
2013-12-01,49,80
2014-01-01,42,90
2014-02-01,48,90
2014-03-01,50,87
2014-04-01,46,78
2014-05-01,52,78
2014-06-01,50,78
2014-07-01,50,93
2014-08-01,53,82
2014-09-01,46,77
2014-10-01,48,77
2014-11-01,50,83
2014-12-01,48,72
2015-01-01,47,77
2015-02-01,39,69
2015-03-01,39,68
2015-04-01,40,67
2015-05-01,40,75
2015-06-01,40,81
2015-07-01,39,78
2015-08-01,41,86
2015-09-01,38,79
2015-10-01,39,77
2015-11-01,40,70
2015-12-01,38,77
2016-01-01,41,87
2016-02-01,41,75
2016-03-01,35,71
2016-04-01,32,82
2016-05-01,42,75
2016-06-01,35,76
2016-07-01,48,100
2016-08-01,45,92
2016-09-01,42,79
2016-10-01,45,82
2016-11-01,49,78
2016-12-01,48,94
2017-01-01,37,92
