date,sign out of google account,how to delete a google account
2011-01-01,3,35
2011-02-01,2,28
2011-03-01,3,29
2011-04-01,4,31
2011-05-01,2,35
2011-06-01,5,40
2011-07-01,4,51
2011-08-01,6,49
2011-09-01,4,58
2011-10-01,5,52
2011-11-01,4,52
2011-12-01,4,51
2012-01-01,4,61
2012-02-01,5,41
2012-03-01,6,41
2012-04-01,6,43
2012-05-01,8,46
2012-06-01,8,50
2012-07-01,11,57
2012-08-01,11,70
2012-09-01,7,58
2012-10-01,8,43
2012-11-01,8,50
2012-12-01,11,58
2013-01-01,10,61
2013-02-01,10,60
2013-03-01,14,53
2013-04-01,15,62
2013-05-01,16,67
2013-06-01,14,68
2013-07-01,17,80
2013-08-01,16,74
2013-09-01,14,70
2013-10-01,21,77
2013-11-01,19,79
2013-12-01,29,84
2014-01-01,28,88
2014-02-01,27,90
2014-03-01,28,86
2014-04-01,26,82
2014-05-01,31,82
2014-06-01,22,82
2014-07-01,24,91
2014-08-01,26,89
2014-09-01,25,79
2014-10-01,23,77
2014-11-01,21,82
2014-12-01,26,76
2015-01-01,24,79
2015-02-01,23,71
2015-03-01,26,70
2015-04-01,27,70
2015-05-01,27,74
2015-06-01,29,79
2015-07-01,32,80
2015-08-01,30,87
2015-09-01,33,79
2015-10-01,36,77
2015-11-01,34,76
2015-12-01,36,78
2016-01-01,37,93
2016-02-01,38,76
2016-03-01,33,73
2016-04-01,37,81
2016-05-01,34,77
2016-06-01,33,78
2016-07-01,54,100
2016-08-01,47,96
2016-09-01,40,84
2016-10-01,44,84
2016-11-01,44,81
2016-12-01,45,97
2017-01-01,45,94
