date,google account sign in,how to delete a google account
2011-01-01,8,3
2011-02-01,9,3
2011-03-01,9,3
2011-04-01,11,3
2011-05-01,11,3
2011-06-01,14,4
2011-07-01,20,5
2011-08-01,21,5
2011-09-01,18,5
2011-10-01,16,5
2011-11-01,24,5
2011-12-01,18,5
2012-01-01,16,6
2012-02-01,15,4
2012-03-01,20,4
2012-04-01,21,4
2012-05-01,14,4
2012-06-01,19,5
2012-07-01,25,5
2012-08-01,28,6
2012-09-01,19,5
2012-10-01,20,4
2012-11-01,24,5
2012-12-01,36,5
2013-01-01,27,6
2013-02-01,24,6
2013-03-01,28,5
2013-04-01,38,6
2013-05-01,32,6
2013-06-01,25,6
2013-07-01,29,7
2013-08-01,44,7
2013-09-01,39,6
2013-10-01,30,7
2013-11-01,33,7
2013-12-01,55,8
2014-01-01,51,8
2014-02-01,38,8
2014-03-01,37,8
2014-04-01,45,8
2014-05-01,47,8
2014-06-01,39,8
2014-07-01,41,8
2014-08-01,48,8
2014-09-01,54,7
2014-10-01,52,7
2014-11-01,42,8
2014-12-01,43,7
2015-01-01,58,7
2015-02-01,57,6
2015-03-01,54,6
2015-04-01,43,6
2015-05-01,51,7
2015-06-01,65,7
2015-07-01,66,7
2015-08-01,49,8
2015-09-01,54,7
2015-10-01,59,7
2015-11-01,71,7
2015-12-01,69,7
2016-01-01,64,9
2016-02-01,57,7
2016-03-01,57,7
2016-04-01,66,7
2016-05-01,75,7
2016-06-01,67,7
2016-07-01,74,9
2016-08-01,95,9
2016-09-01,81,8
2016-10-01,100,8
2016-11-01,80,7
2016-12-01,74,9
2017-01-01,84,9
