date,gmail login new account,how to delete a google account
2011-01-01,2,3
2011-02-01,2,2
2011-03-01,2,2
2011-04-01,3,3
2011-05-01,3,3
2011-06-01,4,4
2011-07-01,5,4
2011-08-01,5,4
2011-09-01,5,5
2011-10-01,4,4
2011-11-01,4,4
2011-12-01,4,4
2012-01-01,6,5
2012-02-01,8,3
2012-03-01,10,3
2012-04-01,5,4
2012-05-01,5,4
2012-06-01,7,4
2012-07-01,9,5
2012-08-01,11,5
2012-09-01,7,5
2012-10-01,5,4
2012-11-01,8,4
2012-12-01,6,5
2013-01-01,5,5
2013-02-01,8,5
2013-03-01,11,4
2013-04-01,12,5
2013-05-01,8,5
2013-06-01,7,6
2013-07-01,12,7
2013-08-01,20,6
2013-09-01,9,6
2013-10-01,13,6
2013-11-01,22,7
2013-12-01,54,7
2014-01-01,21,7
2014-02-01,23,7
2014-03-01,19,7
2014-04-01,40,7
2014-05-01,29,7
2014-06-01,12,7
2014-07-01,14,7
2014-08-01,30,7
2014-09-01,41,7
2014-10-01,11,6
2014-11-01,11,7
2014-12-01,13,7
2015-01-01,19,6
2015-02-01,29,6
2015-03-01,31,6
2015-04-01,17,6
2015-05-01,18,6
2015-06-01,18,6
2015-07-01,30,7
2015-08-01,18,7
2015-09-01,25,7
2015-10-01,31,6
2015-11-01,75,6
2015-12-01,100,6
2016-01-01,81,8
2016-02-01,39,6
2016-03-01,35,6
2016-04-01,40,6
2016-05-01,46,6
2016-06-01,35,6
2016-07-01,40,8
2016-08-01,44,8
2016-09-01,55,7
2016-10-01,42,7
2016-11-01,35,6
2016-12-01,45,8
2017-01-01,41,8
