date,gmail account sign up,how to delete a google account
2011-01-01,8,3
2011-02-01,8,2
2011-03-01,9,2
2011-04-01,15,2
2011-05-01,19,3
2011-06-01,31,3
2011-07-01,39,4
2011-08-01,36,4
2011-09-01,23,4
2011-10-01,16,4
2011-11-01,12,4
2011-12-01,11,4
2012-01-01,14,4
2012-02-01,13,3
2012-03-01,12,3
2012-04-01,15,3
2012-05-01,15,3
2012-06-01,13,4
2012-07-01,15,4
2012-08-01,20,5
2012-09-01,21,4
2012-10-01,22,3
2012-11-01,15,4
2012-12-01,15,4
2013-01-01,15,4
2013-02-01,19,4
2013-03-01,19,4
2013-04-01,20,5
2013-05-01,20,5
2013-06-01,25,5
2013-07-01,25,6
2013-08-01,32,5
2013-09-01,21,5
2013-10-01,35,6
2013-11-01,41,6
2013-12-01,53,6
2014-01-01,38,6
2014-02-01,32,7
2014-03-01,49,6
2014-04-01,76,6
2014-05-01,61,6
2014-06-01,37,6
2014-07-01,40,7
2014-08-01,100,6
2014-09-01,94,6
2014-10-01,36,6
2014-11-01,52,6
2014-12-01,36,5
2015-01-01,83,6
2015-02-01,76,5
2015-03-01,48,5
2015-04-01,59,5
2015-05-01,42,5
2015-06-01,42,6
2015-07-01,36,6
2015-08-01,70,6
2015-09-01,38,6
2015-10-01,45,6
2015-11-01,38,6
2015-12-01,41,6
2016-01-01,63,7
2016-02-01,54,6
2016-03-01,50,5
2016-04-01,33,6
2016-05-01,58,6
2016-06-01,84,6
2016-07-01,87,7
2016-08-01,81,7
2016-09-01,39,6
2016-10-01,63,6
2016-11-01,80,6
2016-12-01,56,7
2017-01-01,66,7
