date,account preferences,how to delete a google account
2011-01-01,10,35
2011-02-01,14,28
2011-03-01,15,29
2011-04-01,11,31
2011-05-01,13,35
2011-06-01,11,40
2011-07-01,11,51
2011-08-01,22,49
2011-09-01,15,58
2011-10-01,18,52
2011-11-01,14,52
2011-12-01,22,51
2012-01-01,16,61
2012-02-01,19,41
2012-03-01,15,41
2012-04-01,14,43
2012-05-01,18,46
2012-06-01,18,50
2012-07-01,19,57
2012-08-01,17,70
2012-09-01,20,58
2012-10-01,16,43
2012-11-01,19,50
2012-12-01,18,58
2013-01-01,18,61
2013-02-01,22,60
2013-03-01,23,53
2013-04-01,18,62
2013-05-01,21,67
2013-06-01,18,68
2013-07-01,20,80
2013-08-01,18,74
2013-09-01,21,70
2013-10-01,19,77
2013-11-01,20,79
2013-12-01,20,84
2014-01-01,25,88
2014-02-01,19,90
2014-03-01,25,86
2014-04-01,20,82
2014-05-01,20,82
2014-06-01,18,82
2014-07-01,20,91
2014-08-01,25,89
2014-09-01,23,79
2014-10-01,20,77
2014-11-01,20,82
2014-12-01,19,76
2015-01-01,23,79
2015-02-01,20,71
2015-03-01,19,70
2015-04-01,18,70
2015-05-01,19,74
2015-06-01,26,79
2015-07-01,27,80
2015-08-01,28,87
2015-09-01,23,79
2015-10-01,26,77
2015-11-01,23,76
2015-12-01,24,78
2016-01-01,22,93
2016-02-01,22,76
2016-03-01,21,73
2016-04-01,22,81
2016-05-01,21,77
2016-06-01,20,78
2016-07-01,24,100
2016-08-01,22,96
2016-09-01,24,84
2016-10-01,26,84
2016-11-01,24,81
2016-12-01,25,97
2017-01-01,26,94
