date,google account homepage,how to delete a google account
2011-01-01,14,35
2011-02-01,12,28
2011-03-01,13,29
2011-04-01,15,31
2011-05-01,18,35
2011-06-01,18,40
2011-07-01,16,51
2011-08-01,21,49
2011-09-01,29,58
2011-10-01,24,52
2011-11-01,20,52
2011-12-01,24,51
2012-01-01,21,61
2012-02-01,20,41
2012-03-01,19,41
2012-04-01,16,43
2012-05-01,17,46
2012-06-01,22,50
2012-07-01,23,57
2012-08-01,26,70
2012-09-01,25,58
2012-10-01,19,43
2012-11-01,20,50
2012-12-01,24,58
2013-01-01,19,61
2013-02-01,21,60
2013-03-01,19,53
2013-04-01,18,62
2013-05-01,20,67
2013-06-01,18,68
2013-07-01,24,80
2013-08-01,20,74
2013-09-01,21,70
2013-10-01,23,77
2013-11-01,24,79
2013-12-01,21,84
2014-01-01,25,88
2014-02-01,22,90
2014-03-01,20,86
2014-04-01,21,82
2014-05-01,19,82
2014-06-01,19,82
2014-07-01,19,91
2014-08-01,22,89
2014-09-01,21,79
2014-10-01,22,77
2014-11-01,20,82
2014-12-01,20,76
2015-01-01,19,79
2015-02-01,15,71
2015-03-01,16,70
2015-04-01,17,70
2015-05-01,15,74
2015-06-01,16,79
2015-07-01,14,80
2015-08-01,14,87
2015-09-01,15,79
2015-10-01,12,77
2015-11-01,14,76
2015-12-01,17,78
2016-01-01,16,93
2016-02-01,15,76
2016-03-01,15,73
2016-04-01,18,81
2016-05-01,15,77
2016-06-01,13,78
2016-07-01,17,100
2016-08-01,18,96
2016-09-01,15,84
2016-10-01,12,84
2016-11-01,13,81
2016-12-01,13,97
2017-01-01,11,94
