date,how to delete gmail account from iphone,how to delete a google account
2011-01-01,2,35
2011-02-01,2,28
2011-03-01,1,29
2011-04-01,1,31
2011-05-01,2,35
2011-06-01,2,40
2011-07-01,2,51
2011-08-01,1,49
2011-09-01,2,58
2011-10-01,2,52
2011-11-01,3,52
2011-12-01,3,51
2012-01-01,3,61
2012-02-01,2,41
2012-03-01,2,41
2012-04-01,3,43
2012-05-01,2,46
2012-06-01,2,50
2012-07-01,2,57
2012-08-01,3,70
2012-09-01,3,58
2012-10-01,3,43
2012-11-01,3,50
2012-12-01,3,58
2013-01-01,4,61
2013-02-01,5,60
2013-03-01,4,53
2013-04-01,3,62
2013-05-01,3,67
2013-06-01,2,68
2013-07-01,2,80
2013-08-01,2,74
2013-09-01,3,70
2013-10-01,4,77
2013-11-01,3,79
2013-12-01,4,84
2014-01-01,4,88
2014-02-01,2,90
2014-03-01,4,86
2014-04-01,3,82
2014-05-01,5,82
2014-06-01,3,82
2014-07-01,4,91
2014-08-01,6,89
2014-09-01,4,79
2014-10-01,5,77
2014-11-01,4,82
2014-12-01,3,76
2015-01-01,4,79
2015-02-01,4,71
2015-03-01,5,70
2015-04-01,3,70
2015-05-01,4,74
2015-06-01,5,79
2015-07-01,3,80
2015-08-01,5,87
2015-09-01,4,79
2015-10-01,5,77
2015-11-01,6,76
2015-12-01,4,78
2016-01-01,6,93
2016-02-01,4,76
2016-03-01,5,73
2016-04-01,4,81
2016-05-01,5,77
2016-06-01,3,78
2016-07-01,5,100
2016-08-01,5,96
2016-09-01,4,84
2016-10-01,5,84
2016-11-01,5,81
2016-12-01,6,97
2017-01-01,5,94
