date,remove email account from android,how to delete a google account
2011-01-01,5,31
2011-02-01,2,26
2011-03-01,2,28
2011-04-01,2,31
2011-05-01,1,37
2011-06-01,3,43
2011-07-01,4,49
2011-08-01,4,44
2011-09-01,4,58
2011-10-01,6,50
2011-11-01,3,46
2011-12-01,8,50
2012-01-01,5,62
2012-02-01,6,42
2012-03-01,9,41
2012-04-01,6,44
2012-05-01,7,45
2012-06-01,9,48
2012-07-01,12,58
2012-08-01,4,64
2012-09-01,9,55
2012-10-01,8,45
2012-11-01,5,48
2012-12-01,5,58
2013-01-01,7,56
2013-02-01,6,61
2013-03-01,8,54
2013-04-01,5,60
2013-05-01,8,65
2013-06-01,5,67
2013-07-01,7,80
2013-08-01,7,72
2013-09-01,4,72
2013-10-01,6,71
2013-11-01,6,79
2013-12-01,10,83
2014-01-01,10,87
2014-02-01,9,90
2014-03-01,10,86
2014-04-01,7,81
2014-05-01,8,81
2014-06-01,10,82
2014-07-01,9,90
2014-08-01,8,89
2014-09-01,10,80
2014-10-01,10,73
2014-11-01,12,79
2014-12-01,11,82
2015-01-01,10,75
2015-02-01,10,67
2015-03-01,9,68
2015-04-01,12,70
2015-05-01,11,69
2015-06-01,13,76
2015-07-01,12,79
2015-08-01,10,86
2015-09-01,9,80
2015-10-01,13,76
2015-11-01,10,75
2015-12-01,14,77
2016-01-01,12,95
2016-02-01,11,75
2016-03-01,12,74
2016-04-01,11,77
2016-05-01,12,78
2016-06-01,15,74
2016-07-01,14,100
2016-08-01,14,94
2016-09-01,10,83
2016-10-01,16,87
2016-11-01,13,76
2016-12-01,17,96
2017-01-01,14,93
