date,delete my google account,how to delete a google account
2011-01-01,22,28
2011-02-01,23,23
2011-03-01,28,24
2011-04-01,26,25
2011-05-01,36,29
2011-06-01,36,32
2011-07-01,50,42
2011-08-01,41,40
2011-09-01,54,48
2011-10-01,47,43
2011-11-01,53,42
2011-12-01,48,42
2012-01-01,58,50
2012-02-01,51,34
2012-03-01,49,33
2012-04-01,48,35
2012-05-01,49,38
2012-06-01,47,40
2012-07-01,52,46
2012-08-01,54,57
2012-09-01,48,47
2012-10-01,52,35
2012-11-01,47,41
2012-12-01,56,47
2013-01-01,57,50
2013-02-01,55,49
2013-03-01,60,43
2013-04-01,63,51
2013-05-01,58,54
2013-06-01,63,55
2013-07-01,70,65
2013-08-01,74,61
2013-09-01,67,57
2013-10-01,67,63
2013-11-01,75,65
2013-12-01,82,69
2014-01-01,84,72
2014-02-01,79,73
2014-03-01,79,70
2014-04-01,77,67
2014-05-01,71,67
2014-06-01,72,67
2014-07-01,72,74
2014-08-01,86,72
2014-09-01,75,64
2014-10-01,72,63
2014-11-01,74,67
2014-12-01,72,62
2015-01-01,75,65
2015-02-01,69,58
2015-03-01,66,57
2015-04-01,68,57
2015-05-01,68,61
2015-06-01,77,65
2015-07-01,76,65
2015-08-01,81,71
2015-09-01,81,65
2015-10-01,72,63
2015-11-01,68,62
2015-12-01,75,64
2016-01-01,81,76
2016-02-01,72,62
2016-03-01,75,60
2016-04-01,81,66
2016-05-01,72,63
2016-06-01,82,63
2016-07-01,100,82
2016-08-01,93,78
2016-09-01,92,68
2016-10-01,85,68
2016-11-01,83,66
2016-12-01,95,79
2017-01-01,99,76
