date,delete my gmail account,how to delete a google account
2011-01-01,42,25
2011-02-01,44,20
2011-03-01,46,21
2011-04-01,49,22
2011-05-01,54,25
2011-06-01,61,28
2011-07-01,63,36
2011-08-01,61,35
2011-09-01,64,42
2011-10-01,59,37
2011-11-01,62,37
2011-12-01,68,37
2012-01-01,63,44
2012-02-01,55,29
2012-03-01,57,29
2012-04-01,58,31
2012-05-01,50,33
2012-06-01,61,35
2012-07-01,60,41
2012-08-01,64,50
2012-09-01,59,41
2012-10-01,54,31
2012-11-01,57,36
2012-12-01,65,41
2013-01-01,64,44
2013-02-01,67,43
2013-03-01,65,38
2013-04-01,74,45
2013-05-01,68,48
2013-06-01,66,48
2013-07-01,74,57
2013-08-01,81,53
2013-09-01,74,50
2013-10-01,72,55
2013-11-01,70,56
2013-12-01,88,60
2014-01-01,99,63
2014-02-01,93,64
2014-03-01,100,61
2014-04-01,88,58
2014-05-01,80,59
2014-06-01,74,59
2014-07-01,89,65
2014-08-01,93,63
2014-09-01,87,56
2014-10-01,83,55
2014-11-01,81,59
2014-12-01,77,54
2015-01-01,81,57
2015-02-01,74,50
2015-03-01,71,50
2015-04-01,68,50
2015-05-01,77,53
2015-06-01,80,56
2015-07-01,83,57
2015-08-01,85,62
2015-09-01,77,57
2015-10-01,77,55
2015-11-01,71,54
2015-12-01,73,56
2016-01-01,84,66
2016-02-01,75,55
2016-03-01,71,52
2016-04-01,71,58
2016-05-01,67,55
2016-06-01,78,55
2016-07-01,85,71
2016-08-01,93,68
2016-09-01,83,60
2016-10-01,79,60
2016-11-01,84,58
2016-12-01,88,69
2017-01-01,91,67
