date,google my account,how to delete a google account
2011-01-01,19,2
2011-02-01,21,2
2011-03-01,22,2
2011-04-01,22,2
2011-05-01,23,2
2011-06-01,26,2
2011-07-01,31,3
2011-08-01,29,3
2011-09-01,31,3
2011-10-01,30,3
2011-11-01,31,3
2011-12-01,35,3
2012-01-01,33,4
2012-02-01,33,2
2012-03-01,32,2
2012-04-01,32,2
2012-05-01,31,3
2012-06-01,33,3
2012-07-01,35,3
2012-08-01,38,4
2012-09-01,38,3
2012-10-01,34,2
2012-11-01,37,3
2012-12-01,40,3
2013-01-01,40,4
2013-02-01,41,3
2013-03-01,41,3
2013-04-01,41,4
2013-05-01,42,4
2013-06-01,43,4
2013-07-01,46,5
2013-08-01,48,4
2013-09-01,47,4
2013-10-01,48,4
2013-11-01,50,5
2013-12-01,55,5
2014-01-01,55,5
2014-02-01,54,5
2014-03-01,54,5
2014-04-01,53,5
2014-05-01,50,5
2014-06-01,51,5
2014-07-01,53,5
2014-08-01,56,5
2014-09-01,58,5
2014-10-01,56,4
2014-11-01,56,5
2014-12-01,59,4
2015-01-01,59,5
2015-02-01,59,4
2015-03-01,57,4
2015-04-01,57,4
2015-05-01,59,4
2015-06-01,70,5
2015-07-01,68,5
2015-08-01,69,5
2015-09-01,69,5
2015-10-01,69,4
2015-11-01,66,4
2015-12-01,71,4
2016-01-01,72,5
2016-02-01,70,4
2016-03-01,71,4
2016-04-01,72,5
2016-05-01,73,4
2016-06-01,80,4
2016-07-01,94,6
2016-08-01,92,6
2016-09-01,88,5
2016-10-01,92,5
2016-11-01,92,5
2016-12-01,100,6
2017-01-01,100,5
