date,create new google account,how to delete a google account
2011-01-01,14,10
2011-02-01,15,9
2011-03-01,14,9
2011-04-01,13,10
2011-05-01,19,12
2011-06-01,22,14
2011-07-01,35,16
2011-08-01,30,14
2011-09-01,33,19
2011-10-01,29,16
2011-11-01,28,15
2011-12-01,30,16
2012-01-01,28,20
2012-02-01,27,14
2012-03-01,27,13
2012-04-01,26,14
2012-05-01,31,15
2012-06-01,32,16
2012-07-01,37,19
2012-08-01,35,21
2012-09-01,40,18
2012-10-01,27,15
2012-11-01,33,16
2012-12-01,39,19
2013-01-01,36,18
2013-02-01,37,20
2013-03-01,42,18
2013-04-01,41,19
2013-05-01,44,21
2013-06-01,43,22
2013-07-01,61,26
2013-08-01,58,24
2013-09-01,56,23
2013-10-01,58,23
2013-11-01,59,26
2013-12-01,68,27
2014-01-01,65,28
2014-02-01,60,30
2014-03-01,61,28
2014-04-01,64,27
2014-05-01,65,26
2014-06-01,64,27
2014-07-01,61,29
2014-08-01,65,29
2014-09-01,67,26
2014-10-01,64,24
2014-11-01,66,26
2014-12-01,68,27
2015-01-01,64,25
2015-02-01,61,22
2015-03-01,81,22
2015-04-01,74,23
2015-05-01,70,23
2015-06-01,68,25
2015-07-01,64,26
2015-08-01,70,28
2015-09-01,79,26
2015-10-01,60,25
2015-11-01,63,24
2015-12-01,70,25
2016-01-01,67,31
2016-02-01,63,25
2016-03-01,64,24
2016-04-01,64,25
2016-05-01,63,25
2016-06-01,64,24
2016-07-01,81,33
2016-08-01,78,31
2016-09-01,76,27
2016-10-01,82,29
2016-11-01,91,25
2016-12-01,100,31
2017-01-01,90,30
