date,my google history search,how to delete a google account
2011-01-01,15,23
2011-02-01,16,18
2011-03-01,13,19
2011-04-01,15,20
2011-05-01,19,23
2011-06-01,21,26
2011-07-01,26,33
2011-08-01,27,32
2011-09-01,27,38
2011-10-01,26,34
2011-11-01,23,34
2011-12-01,24,34
2012-01-01,26,40
2012-02-01,29,27
2012-03-01,33,27
2012-04-01,24,28
2012-05-01,29,30
2012-06-01,32,32
2012-07-01,33,37
2012-08-01,33,45
2012-09-01,30,38
2012-10-01,31,28
2012-11-01,33,33
2012-12-01,33,38
2013-01-01,36,40
2013-02-01,36,39
2013-03-01,37,35
2013-04-01,32,41
2013-05-01,33,44
2013-06-01,35,44
2013-07-01,33,52
2013-08-01,41,48
2013-09-01,36,46
2013-10-01,37,50
2013-11-01,37,52
2013-12-01,46,55
2014-01-01,45,58
2014-02-01,44,59
2014-03-01,40,56
2014-04-01,37,53
2014-05-01,42,54
2014-06-01,42,54
2014-07-01,41,59
2014-08-01,44,58
2014-09-01,41,52
2014-10-01,46,51
2014-11-01,44,54
2014-12-01,45,49
2015-01-01,45,52
2015-02-01,45,46
2015-03-01,46,46
2015-04-01,61,46
2015-05-01,50,49
2015-06-01,54,52
2015-07-01,53,52
2015-08-01,54,57
2015-09-01,52,52
2015-10-01,58,50
2015-11-01,57,50
2015-12-01,68,51
2016-01-01,63,61
2016-02-01,67,50
2016-03-01,70,48
2016-04-01,85,53
2016-05-01,71,50
2016-06-01,100,51
2016-07-01,90,65
2016-08-01,89,62
2016-09-01,91,55
2016-10-01,75,55
2016-11-01,75,53
2016-12-01,83,63
2017-01-01,88,61
