date,delete gmail account permanently,how to delete a google account
2011-01-01,28,35
2011-02-01,27,28
2011-03-01,31,29
2011-04-01,45,31
2011-05-01,37,35
2011-06-01,54,40
2011-07-01,60,51
2011-08-01,67,49
2011-09-01,59,58
2011-10-01,37,52
2011-11-01,23,52
2011-12-01,35,51
2012-01-01,50,61
2012-02-01,30,41
2012-03-01,29,41
2012-04-01,31,43
2012-05-01,30,46
2012-06-01,25,50
2012-07-01,23,57
2012-08-01,26,70
2012-09-01,25,58
2012-10-01,18,43
2012-11-01,22,50
2012-12-01,34,58
2013-01-01,43,61
2013-02-01,39,60
2013-03-01,32,53
2013-04-01,23,62
2013-05-01,37,67
2013-06-01,31,68
2013-07-01,30,80
2013-08-01,36,74
2013-09-01,39,70
2013-10-01,33,77
2013-11-01,31,79
2013-12-01,46,84
2014-01-01,57,88
2014-02-01,53,90
2014-03-01,36,86
2014-04-01,31,82
2014-05-01,34,82
2014-06-01,40,82
2014-07-01,55,91
2014-08-01,46,89
2014-09-01,36,79
2014-10-01,42,77
2014-11-01,47,82
2014-12-01,46,76
2015-01-01,48,79
2015-02-01,39,71
2015-03-01,42,70
2015-04-01,36,70
2015-05-01,32,74
2015-06-01,36,79
2015-07-01,49,80
2015-08-01,44,87
2015-09-01,36,79
2015-10-01,33,77
2015-11-01,38,76
2015-12-01,44,78
2016-01-01,43,93
2016-02-01,32,76
2016-03-01,36,73
2016-04-01,36,81
2016-05-01,35,77
2016-06-01,36,78
2016-07-01,44,100
2016-08-01,46,96
2016-09-01,41,84
2016-10-01,38,84
2016-11-01,38,81
2016-12-01,48,97
2017-01-01,46,94
