date,email account login,how to delete a google account
2011-01-01,13,2
2011-02-01,10,2
2011-03-01,9,2
2011-04-01,11,2
2011-05-01,11,2
2011-06-01,14,2
2011-07-01,15,3
2011-08-01,18,3
2011-09-01,14,4
2011-10-01,12,3
2011-11-01,10,3
2011-12-01,13,3
2012-01-01,14,4
2012-02-01,14,3
2012-03-01,13,3
2012-04-01,13,3
2012-05-01,11,3
2012-06-01,14,3
2012-07-01,16,4
2012-08-01,18,4
2012-09-01,16,4
2012-10-01,16,3
2012-11-01,15,3
2012-12-01,14,4
2013-01-01,15,4
2013-02-01,18,4
2013-03-01,19,3
2013-04-01,18,4
2013-05-01,20,4
2013-06-01,19,4
2013-07-01,19,5
2013-08-01,24,5
2013-09-01,20,4
2013-10-01,23,5
2013-11-01,24,5
2013-12-01,23,5
2014-01-01,24,6
2014-02-01,32,6
2014-03-01,23,5
2014-04-01,26,5
2014-05-01,21,5
2014-06-01,22,5
2014-07-01,22,6
2014-08-01,27,6
2014-09-01,25,5
2014-10-01,22,5
2014-11-01,34,5
2014-12-01,24,5
2015-01-01,27,5
2015-02-01,29,4
2015-03-01,27,4
2015-04-01,25,4
2015-05-01,25,5
2015-06-01,39,5
2015-07-01,32,5
2015-08-01,29,5
2015-09-01,32,5
2015-10-01,32,5
2015-11-01,42,5
2015-12-01,100,5
2016-01-01,69,6
2016-02-01,34,5
2016-03-01,32,5
2016-04-01,34,5
2016-05-01,32,5
2016-06-01,32,5
2016-07-01,40,6
2016-08-01,43,6
2016-09-01,41,5
2016-10-01,45,5
2016-11-01,48,5
2016-12-01,45,6
2017-01-01,46,6
