date,clear history chrome,how to delete a google account
2011-01-01,50,16
2011-02-01,45,14
2011-03-01,45,14
2011-04-01,51,16
2011-05-01,53,19
2011-06-01,65,23
2011-07-01,64,26
2011-08-01,74,23
2011-09-01,58,31
2011-10-01,58,26
2011-11-01,58,24
2011-12-01,64,26
2012-01-01,67,32
2012-02-01,57,22
2012-03-01,51,21
2012-04-01,49,23
2012-05-01,52,24
2012-06-01,70,25
2012-07-01,60,31
2012-08-01,64,34
2012-09-01,61,29
2012-10-01,73,24
2012-11-01,71,25
2012-12-01,81,31
2013-01-01,75,30
2013-02-01,80,32
2013-03-01,77,28
2013-04-01,77,31
2013-05-01,77,34
2013-06-01,86,35
2013-07-01,85,42
2013-08-01,75,38
2013-09-01,64,38
2013-10-01,67,37
2013-11-01,65,41
2013-12-01,80,44
2014-01-01,79,45
2014-02-01,74,47
2014-03-01,70,45
2014-04-01,69,43
2014-05-01,71,42
2014-06-01,78,43
2014-07-01,70,47
2014-08-01,71,47
2014-09-01,72,42
2014-10-01,71,38
2014-11-01,70,42
2014-12-01,78,43
2015-01-01,75,40
2015-02-01,77,35
2015-03-01,71,36
2015-04-01,68,36
2015-05-01,72,36
2015-06-01,71,40
2015-07-01,78,42
2015-08-01,70,45
2015-09-01,73,42
2015-10-01,71,40
2015-11-01,69,39
2015-12-01,73,40
2016-01-01,74,50
2016-02-01,73,40
2016-03-01,64,39
2016-04-01,69,40
2016-05-01,81,41
2016-06-01,72,39
2016-07-01,76,52
2016-08-01,76,49
2016-09-01,81,43
2016-10-01,91,46
2016-11-01,78,40
2016-12-01,95,50
2017-01-01,100,49
