date,Delete my twitter account
2011-01-01,17
2011-02-01,14
2011-03-01,20
2011-04-01,18
2011-05-01,16
2011-06-01,23
2011-07-01,35
2011-08-01,23
2011-09-01,24
2011-10-01,27
2011-11-01,32
2011-12-01,37
2012-01-01,47
2012-02-01,44
2012-03-01,41
2012-04-01,47
2012-05-01,44
2012-06-01,55
2012-07-01,71
2012-08-01,58
2012-09-01,57
2012-10-01,50
2012-11-01,57
2012-12-01,72
2013-01-01,65
2013-02-01,68
2013-03-01,58
2013-04-01,65
2013-05-01,66
2013-06-01,62
2013-07-01,73
2013-08-01,81
2013-09-01,82
2013-10-01,67
2013-11-01,56
2013-12-01,65
2014-01-01,81
2014-02-01,100
2014-03-01,94
2014-04-01,54
2014-05-01,68
2014-06-01,85
2014-07-01,78
2014-08-01,99
2014-09-01,72
2014-10-01,73
2014-11-01,75
2014-12-01,78
2015-01-01,94
2015-02-01,79
2015-03-01,60
2015-04-01,79
2015-05-01,91
2015-06-01,97
2015-07-01,79
2015-08-01,80
2015-09-01,93
2015-10-01,81
2015-11-01,67
2015-12-01,59
2016-01-01,85
2016-02-01,76
2016-03-01,71
2016-04-01,70
2016-05-01,69
2016-06-01,81
2016-07-01,97
2016-08-01,88
2016-09-01,68
2016-10-01,73
2016-11-01,85
2016-12-01,82
2017-01-01,90
