date,twitter account delete
2011-01-01,18
2011-02-01,15
2011-03-01,18
2011-04-01,18
2011-05-01,23
2011-06-01,25
2011-07-01,34
2011-08-01,25
2011-09-01,30
2011-10-01,30
2011-11-01,36
2011-12-01,41
2012-01-01,44
2012-02-01,40
2012-03-01,37
2012-04-01,47
2012-05-01,44
2012-06-01,53
2012-07-01,57
2012-08-01,67
2012-09-01,60
2012-10-01,54
2012-11-01,56
2012-12-01,70
2013-01-01,74
2013-02-01,75
2013-03-01,62
2013-04-01,55
2013-05-01,69
2013-06-01,74
2013-07-01,67
2013-08-01,68
2013-09-01,74
2013-10-01,68
2013-11-01,60
2013-12-01,62
2014-01-01,81
2014-02-01,88
2014-03-01,80
2014-04-01,67
2014-05-01,67
2014-06-01,84
2014-07-01,97
2014-08-01,94
2014-09-01,82
2014-10-01,76
2014-11-01,78
2014-12-01,90
2015-01-01,100
2015-02-01,85
2015-03-01,86
2015-04-01,86
2015-05-01,82
2015-06-01,91
2015-07-01,99
2015-08-01,91
2015-09-01,83
2015-10-01,79
2015-11-01,79
2015-12-01,76
2016-01-01,83
2016-02-01,78
2016-03-01,77
2016-04-01,75
2016-05-01,70
2016-06-01,90
2016-07-01,98
2016-08-01,93
2016-09-01,81
2016-10-01,74
2016-11-01,81
2016-12-01,88
2017-01-01,99
