date,Deactivate twitter
2011-01-01,7
2011-02-01,8
2011-03-01,6
2011-04-01,11
2011-05-01,15
2011-06-01,14
2011-07-01,16
2011-08-01,18
2011-09-01,21
2011-10-01,19
2011-11-01,25
2011-12-01,26
2012-01-01,34
2012-02-01,33
2012-03-01,36
2012-04-01,43
2012-05-01,44
2012-06-01,50
2012-07-01,58
2012-08-01,65
2012-09-01,57
2012-10-01,57
2012-11-01,63
2012-12-01,82
2013-01-01,93
2013-02-01,90
2013-03-01,76
2013-04-01,73
2013-05-01,70
2013-06-01,82
2013-07-01,88
2013-08-01,85
2013-09-01,74
2013-10-01,73
2013-11-01,77
2013-12-01,76
2014-01-01,87
2014-02-01,87
2014-03-01,81
2014-04-01,85
2014-05-01,85
2014-06-01,88
2014-07-01,90
2014-08-01,95
2014-09-01,83
2014-10-01,77
2014-11-01,85
2014-12-01,89
2015-01-01,94
2015-02-01,87
2015-03-01,88
2015-04-01,87
2015-05-01,87
2015-06-01,100
2015-07-01,96
2015-08-01,93
2015-09-01,87
2015-10-01,83
2015-11-01,87
2015-12-01,87
2016-01-01,91
2016-02-01,81
2016-03-01,79
2016-04-01,85
2016-05-01,90
2016-06-01,99
2016-07-01,100
2016-08-01,93
2016-09-01,84
2016-10-01,87
2016-11-01,89
2016-12-01,85
2017-01-01,93
