Date,allow cookies safari
2011-01-01,0.0
2011-02-01,0.0
2011-03-01,11.0
2011-04-01,11.0
2011-05-01,11.0
2011-06-01,11.0
2011-07-01,33.0
2011-08-01,10.0
2011-09-01,41.0
2011-10-01,10.0
2011-11-01,10.0
2011-12-01,18.0
2012-01-01,26.0
2012-02-01,35.0
2012-03-01,43.0
2012-04-01,18.0
2012-05-01,26.0
2012-06-01,9.0
2012-07-01,17.0
2012-08-01,50.0
2012-09-01,17.0
2012-10-01,31.0
2012-11-01,24.0
2012-12-01,33.0
2013-01-01,43.0
2013-02-01,31.0
2013-03-01,14.0
2013-04-01,36.0
2013-05-01,44.0
2013-06-01,53.0
2013-07-01,7.0
2013-08-01,43.0
2013-09-01,50.0
2013-10-01,14.0
2013-11-01,36.0
2013-12-01,21.0
2014-01-01,46.0
2014-02-01,29.0
2014-03-01,59.0
2014-04-01,88.0
2014-05-01,50.0
2014-06-01,24.0
2014-07-01,47.0
2014-08-01,86.0
2014-09-01,68.0
2014-10-01,50.0
2014-11-01,53.0
2014-12-01,30.0
2015-01-01,100.0
2015-02-01,61.0
2015-03-01,72.0
2015-04-01,68.0
2015-05-01,38.0
2015-06-01,87.0
2015-07-01,47.0
2015-08-01,62.0
2015-09-01,89.0
2015-10-01,35.0
2015-11-01,51.0
2015-12-01,21.0
2016-01-01,90.0
2016-02-01,55.0
2016-03-01,58.0
2016-04-01,48.0
2016-05-01,21.0
2016-06-01,53.0
