date,how to delete a snapchat message,how to delete a snapchat account
2011-01-01,0,0
2011-02-01,0,0
2011-03-01,0,0
2011-04-01,0,0
2011-05-01,0,0
2011-06-01,0,0
2011-07-01,0,0
2011-08-01,0,0
2011-09-01,0,0
2011-10-01,0,0
2011-11-01,0,0
2011-12-01,0,0
2012-01-01,0,0
2012-02-01,0,0
2012-03-01,0,0
2012-04-01,0,0
2012-05-01,0,1
2012-06-01,0,1
2012-07-01,0,2
2012-08-01,0,3
2012-09-01,0,4
2012-10-01,0,8
2012-11-01,0,26
2012-12-01,1,28
2013-01-01,1,22
2013-02-01,1,13
2013-03-01,1,22
2013-04-01,1,32
2013-05-01,1,28
2013-06-01,1,37
2013-07-01,1,45
2013-08-01,1,40
2013-09-01,1,33
2013-10-01,1,43
2013-11-01,2,38
2013-12-01,2,57
2014-01-01,2,79
2014-02-01,3,49
2014-03-01,1,57
2014-04-01,3,58
2014-05-01,18,78
2014-06-01,9,72
2014-07-01,10,61
2014-08-01,6,59
2014-09-01,9,59
2014-10-01,7,65
2014-11-01,7,70
2014-12-01,13,79
2015-01-01,20,100
2015-02-01,18,65
2015-03-01,11,77
2015-04-01,10,63
2015-05-01,12,55
2015-06-01,18,59
2015-07-01,16,89
2015-08-01,16,88
2015-09-01,17,75
2015-10-01,16,56
2015-11-01,19,63
2015-12-01,13,71
2016-01-01,18,77
2016-02-01,20,71
2016-03-01,25,80
2016-04-01,35,85
2016-05-01,30,99
2016-06-01,34,93
2016-07-01,29,99
2016-08-01,34,89
2016-09-01,29,81
2016-10-01,32,76
2016-11-01,31,75
2016-12-01,37,95
2017-01-01,40,94
