date,delete snapchat chat account,how to delete a snapchat account
2011-01-01,0,0
2011-02-01,0,0
2011-03-01,0,0
2011-04-01,0,0
2011-05-01,0,0
2011-06-01,0,0
2011-07-01,0,0
2011-08-01,0,0
2011-09-01,0,0
2011-10-01,0,0
2011-11-01,0,0
2011-12-01,0,0
2012-01-01,0,0
2012-02-01,0,0
2012-03-01,0,0
2012-04-01,0,0
2012-05-01,1,1
2012-06-01,1,1
2012-07-01,1,2
2012-08-01,1,3
2012-09-01,2,4
2012-10-01,2,8
2012-11-01,5,26
2012-12-01,5,28
2013-01-01,4,22
2013-02-01,4,13
2013-03-01,4,22
2013-04-01,5,32
2013-05-01,7,28
2013-06-01,9,37
2013-07-01,6,45
2013-08-01,4,40
2013-09-01,4,33
2013-10-01,6,43
2013-11-01,3,38
2013-12-01,4,57
2014-01-01,9,79
2014-02-01,6,49
2014-03-01,7,57
2014-04-01,6,58
2014-05-01,13,78
2014-06-01,9,72
2014-07-01,10,61
2014-08-01,6,59
2014-09-01,8,59
2014-10-01,8,65
2014-11-01,11,70
2014-12-01,6,79
2015-01-01,13,100
2015-02-01,10,65
2015-03-01,6,77
2015-04-01,6,63
2015-05-01,6,55
2015-06-01,12,59
2015-07-01,12,89
2015-08-01,9,88
2015-09-01,9,75
2015-10-01,7,56
2015-11-01,9,63
2015-12-01,11,71
2016-01-01,10,77
2016-02-01,8,71
2016-03-01,9,80
2016-04-01,14,85
2016-05-01,11,99
2016-06-01,14,93
2016-07-01,10,99
2016-08-01,9,89
2016-09-01,11,81
2016-10-01,14,76
2016-11-01,11,75
2016-12-01,10,95
2017-01-01,12,94
