date,delete your snapchat account,how to delete a snapchat account
2011-01-01,0,0
2011-02-01,0,0
2011-03-01,0,0
2011-04-01,0,0
2011-05-01,0,0
2011-06-01,0,0
2011-07-01,0,0
2011-08-01,0,0
2011-09-01,0,0
2011-10-01,0,0
2011-11-01,0,0
2011-12-01,0,0
2012-01-01,0,0
2012-02-01,0,0
2012-03-01,2,0
2012-04-01,1,0
2012-05-01,1,1
2012-06-01,1,1
2012-07-01,2,2
2012-08-01,2,3
2012-09-01,3,4
2012-10-01,5,8
2012-11-01,21,26
2012-12-01,18,28
2013-01-01,10,22
2013-02-01,12,13
2013-03-01,14,22
2013-04-01,26,32
2013-05-01,31,28
2013-06-01,35,37
2013-07-01,37,45
2013-08-01,42,40
2013-09-01,32,33
2013-10-01,38,43
2013-11-01,26,38
2013-12-01,36,57
2014-01-01,60,79
2014-02-01,39,49
2014-03-01,44,57
2014-04-01,48,58
2014-05-01,72,78
2014-06-01,53,72
2014-07-01,41,61
2014-08-01,39,59
2014-09-01,40,59
2014-10-01,46,65
2014-11-01,48,70
2014-12-01,55,79
2015-01-01,64,100
2015-02-01,43,65
2015-03-01,37,77
2015-04-01,43,63
2015-05-01,42,55
2015-06-01,54,59
2015-07-01,56,89
2015-08-01,58,88
2015-09-01,59,75
2015-10-01,47,56
2015-11-01,46,63
2015-12-01,49,71
2016-01-01,62,77
2016-02-01,55,71
2016-03-01,61,80
2016-04-01,60,85
2016-05-01,65,99
2016-06-01,86,93
2016-07-01,75,99
2016-08-01,66,89
2016-09-01,54,81
2016-10-01,53,76
2016-11-01,61,75
2016-12-01,50,95
2017-01-01,62,94
