date,can you deactivate instagram account,how to delete a snapchat account
2011-01-01,0,0
2011-02-01,0,0
2011-03-01,0,0
2011-04-01,0,0
2011-05-01,0,0
2011-06-01,0,0
2011-07-01,0,0
2011-08-01,0,0
2011-09-01,0,0
2011-10-01,0,0
2011-11-01,0,0
2011-12-01,0,0
2012-01-01,0,0
2012-02-01,0,0
2012-03-01,1,0
2012-04-01,1,0
2012-05-01,1,0
2012-06-01,2,0
2012-07-01,1,0
2012-08-01,3,3
2012-09-01,2,3
2012-10-01,1,7
2012-11-01,1,25
2012-12-01,4,28
2013-01-01,2,19
2013-02-01,3,11
2013-03-01,2,21
2013-04-01,3,31
2013-05-01,7,25
2013-06-01,2,34
2013-07-01,1,37
2013-08-01,5,37
2013-09-01,4,27
2013-10-01,4,42
2013-11-01,3,32
2013-12-01,2,50
2014-01-01,4,74
2014-02-01,2,44
2014-03-01,3,51
2014-04-01,4,52
2014-05-01,2,70
2014-06-01,4,68
2014-07-01,3,53
2014-08-01,4,52
2014-09-01,4,55
2014-10-01,2,62
2014-11-01,4,60
2014-12-01,3,71
2015-01-01,3,93
2015-02-01,6,60
2015-03-01,5,70
2015-04-01,9,62
2015-05-01,9,52
2015-06-01,8,52
2015-07-01,4,78
2015-08-01,3,82
2015-09-01,5,71
2015-10-01,8,50
2015-11-01,4,59
2015-12-01,6,66
2016-01-01,10,72
2016-02-01,6,64
2016-03-01,6,75
2016-04-01,8,79
2016-05-01,7,100
2016-06-01,7,83
2016-07-01,7,96
2016-08-01,11,81
2016-09-01,9,70
2016-10-01,12,75
2016-11-01,10,69
2016-12-01,6,87
2017-01-01,8,86
