date,snapchat number,how to delete a snapchat account
2011-01-01,0,0
2011-02-01,0,0
2011-03-01,0,0
2011-04-01,0,0
2011-05-01,0,0
2011-06-01,0,0
2011-07-01,0,0
2011-08-01,0,0
2011-09-01,0,0
2011-10-01,0,0
2011-11-01,0,0
2011-12-01,0,0
2012-01-01,0,0
2012-02-01,0,0
2012-03-01,0,0
2012-04-01,0,0
2012-05-01,0,0
2012-06-01,0,0
2012-07-01,0,0
2012-08-01,0,0
2012-09-01,1,0
2012-10-01,1,1
2012-11-01,3,2
2012-12-01,5,3
2013-01-01,4,2
2013-02-01,4,1
2013-03-01,10,2
2013-04-01,15,3
2013-05-01,21,3
2013-06-01,23,3
2013-07-01,11,4
2013-08-01,14,4
2013-09-01,10,3
2013-10-01,11,4
2013-11-01,14,4
2013-12-01,17,5
2014-01-01,29,7
2014-02-01,17,5
2014-03-01,19,5
2014-04-01,21,5
2014-05-01,22,7
2014-06-01,19,7
2014-07-01,22,6
2014-08-01,21,6
2014-09-01,18,5
2014-10-01,20,6
2014-11-01,21,6
2014-12-01,23,7
2015-01-01,26,9
2015-02-01,23,6
2015-03-01,29,7
2015-04-01,85,6
2015-05-01,46,5
2015-06-01,47,5
2015-07-01,51,8
2015-08-01,52,8
2015-09-01,55,7
2015-10-01,48,5
2015-11-01,45,6
2015-12-01,54,7
2016-01-01,55,7
2016-02-01,55,7
2016-03-01,60,7
2016-04-01,68,8
2016-05-01,69,9
2016-06-01,76,9
2016-07-01,77,9
2016-08-01,74,8
2016-09-01,63,7
2016-10-01,64,7
2016-11-01,67,7
2016-12-01,100,9
2017-01-01,74,9
