date,uber security
2011-01-01,3
2011-02-01,4
2011-03-01,2
2011-04-01,5
2011-05-01,6
2011-06-01,3
2011-07-01,4
2011-08-01,0
2011-09-01,4
2011-10-01,3
2011-11-01,3
2011-12-01,1
2012-01-01,1
2012-02-01,5
2012-03-01,1
2012-04-01,3
2012-05-01,2
2012-06-01,4
2012-07-01,4
2012-08-01,1
2012-09-01,2
2012-10-01,2
2012-11-01,3
2012-12-01,3
2013-01-01,2
2013-02-01,2
2013-03-01,2
2013-04-01,2
2013-05-01,3
2013-06-01,3
2013-07-01,4
2013-08-01,4
2013-09-01,5
2013-10-01,5
2013-11-01,6
2013-12-01,4
2014-01-01,7
2014-02-01,9
2014-03-01,6
2014-04-01,11
2014-05-01,11
2014-06-01,19
2014-07-01,21
2014-08-01,15
2014-09-01,17
2014-10-01,23
2014-11-01,29
2014-12-01,33
2015-01-01,20
2015-02-01,33
2015-03-01,32
2015-04-01,47
2015-05-01,40
2015-06-01,50
2015-07-01,44
2015-08-01,54
2015-09-01,45
2015-10-01,49
2015-11-01,52
2015-12-01,47
2016-01-01,58
2016-02-01,56
2016-03-01,51
2016-04-01,65
2016-05-01,60
2016-06-01,61
2016-07-01,70
2016-08-01,69
2016-09-01,72
2016-10-01,74
2016-11-01,73
2016-12-01,86
2017-01-01,100
