date,how to go incognito on mac
2011-01-01,0
2011-02-01,0
2011-03-01,0
2011-04-01,10
2011-05-01,9
2011-06-01,9
2011-07-01,8
2011-08-01,8
2011-09-01,8
2011-10-01,8
2011-11-01,0
2011-12-01,0
2012-01-01,0
2012-02-01,0
2012-03-01,0
2012-04-01,0
2012-05-01,7
2012-06-01,7
2012-07-01,7
2012-08-01,7
2012-09-01,11
2012-10-01,13
2012-11-01,6
2012-12-01,6
2013-01-01,6
2013-02-01,19
2013-03-01,29
2013-04-01,10
2013-05-01,13
2013-06-01,12
2013-07-01,12
2013-08-01,13
2013-09-01,20
2013-10-01,21
2013-11-01,7
2013-12-01,16
2014-01-01,22
2014-02-01,16
2014-03-01,15
2014-04-01,7
2014-05-01,19
2014-06-01,15
2014-07-01,20
2014-08-01,35
2014-09-01,25
2014-10-01,27
2014-11-01,52
2014-12-01,38
2015-01-01,33
2015-02-01,41
2015-03-01,46
2015-04-01,29
2015-05-01,33
2015-06-01,54
2015-07-01,52
2015-08-01,56
2015-09-01,62
2015-10-01,51
2015-11-01,48
2015-12-01,32
2016-01-01,51
2016-02-01,36
2016-03-01,51
2016-04-01,62
2016-05-01,72
2016-06-01,76
2016-07-01,74
2016-08-01,75
2016-09-01,100
2016-10-01,99
2016-11-01,98
2016-12-01,61
2017-01-01,88
