date,anonymox opera
2011-01-01,0
2011-02-01,0
2011-03-01,0
2011-04-01,0
2011-05-01,0
2011-06-01,0
2011-07-01,0
2011-08-01,0
2011-09-01,0
2011-10-01,9
2011-11-01,8
2011-12-01,8
2012-01-01,16
2012-02-01,12
2012-03-01,15
2012-04-01,24
2012-05-01,7
2012-06-01,31
2012-07-01,15
2012-08-01,23
2012-09-01,41
2012-10-01,37
2012-11-01,24
2012-12-01,21
2013-01-01,12
2013-02-01,24
2013-03-01,9
2013-04-01,19
2013-05-01,33
2013-06-01,22
2013-07-01,31
2013-08-01,33
2013-09-01,27
2013-10-01,31
2013-11-01,17
2013-12-01,23
2014-01-01,24
2014-02-01,44
2014-03-01,44
2014-04-01,43
2014-05-01,47
2014-06-01,43
2014-07-01,38
2014-08-01,50
2014-09-01,60
2014-10-01,41
2014-11-01,78
2014-12-01,85
2015-01-01,51
2015-02-01,77
2015-03-01,66
2015-04-01,82
2015-05-01,65
2015-06-01,87
2015-07-01,96
2015-08-01,78
2015-09-01,86
2015-10-01,89
2015-11-01,73
2015-12-01,70
2016-01-01,84
2016-02-01,100
2016-03-01,68
2016-04-01,59
2016-05-01,90
2016-06-01,66
2016-07-01,85
2016-08-01,59
2016-09-01,93
2016-10-01,90
2016-11-01,82
2016-12-01,64
2017-01-01,53
