date,anonymous proxy
2011-01-01,93
2011-02-01,89
2011-03-01,81
2011-04-01,87
2011-05-01,85
2011-06-01,84
2011-07-01,81
2011-08-01,83
2011-09-01,79
2011-10-01,74
2011-11-01,83
2011-12-01,74
2012-01-01,100
2012-02-01,92
2012-03-01,75
2012-04-01,69
2012-05-01,69
2012-06-01,70
2012-07-01,65
2012-08-01,64
2012-09-01,66
2012-10-01,65
2012-11-01,65
2012-12-01,65
2013-01-01,57
2013-02-01,60
2013-03-01,58
2013-04-01,58
2013-05-01,53
2013-06-01,55
2013-07-01,51
2013-08-01,51
2013-09-01,48
2013-10-01,48
2013-11-01,52
2013-12-01,53
2014-01-01,48
2014-02-01,50
2014-03-01,51
2014-04-01,50
2014-05-01,49
2014-06-01,51
2014-07-01,51
2014-08-01,54
2014-09-01,51
2014-10-01,49
2014-11-01,55
2014-12-01,49
2015-01-01,48
2015-02-01,47
2015-03-01,44
2015-04-01,43
2015-05-01,40
2015-06-01,37
2015-07-01,37
2015-08-01,40
2015-09-01,34
2015-10-01,33
2015-11-01,34
2015-12-01,32
2016-01-01,33
2016-02-01,32
2016-03-01,30
2016-04-01,27
2016-05-01,27
2016-06-01,27
2016-07-01,29
2016-08-01,28
2016-09-01,27
2016-10-01,25
2016-11-01,24
2016-12-01,24
2017-01-01,21
