date,incognito safari ipad
2011-01-01,12
2011-02-01,17
2011-03-01,18
2011-04-01,13
2011-05-01,16
2011-06-01,24
2011-07-01,18
2011-08-01,15
2011-09-01,19
2011-10-01,28
2011-11-01,23
2011-12-01,39
2012-01-01,34
2012-02-01,20
2012-03-01,31
2012-04-01,50
2012-05-01,46
2012-06-01,54
2012-07-01,37
2012-08-01,49
2012-09-01,38
2012-10-01,39
2012-11-01,44
2012-12-01,56
2013-01-01,60
2013-02-01,50
2013-03-01,64
2013-04-01,62
2013-05-01,74
2013-06-01,72
2013-07-01,97
2013-08-01,87
2013-09-01,92
2013-10-01,82
2013-11-01,66
2013-12-01,98
2014-01-01,65
2014-02-01,96
2014-03-01,75
2014-04-01,60
2014-05-01,75
2014-06-01,74
2014-07-01,66
2014-08-01,80
2014-09-01,100
2014-10-01,69
2014-11-01,64
2014-12-01,59
2015-01-01,83
2015-02-01,67
2015-03-01,65
2015-04-01,66
2015-05-01,68
2015-06-01,66
2015-07-01,52
2015-08-01,51
2015-09-01,68
2015-10-01,55
2015-11-01,38
2015-12-01,53
2016-01-01,45
2016-02-01,27
2016-03-01,38
2016-04-01,30
2016-05-01,35
2016-06-01,39
2016-07-01,38
2016-08-01,29
2016-09-01,43
2016-10-01,39
2016-11-01,29
2016-12-01,27
2017-01-01,39
