date,delete someone snapchat
2011-01-01,0
2011-02-01,0
2011-03-01,0
2011-04-01,0
2011-05-01,0
2011-06-01,0
2011-07-01,0
2011-08-01,0
2011-09-01,0
2011-10-01,0
2011-11-01,0
2011-12-01,0
2012-01-01,0
2012-02-01,0
2012-03-01,0
2012-04-01,0
2012-05-01,0
2012-06-01,0
2012-07-01,0
2012-08-01,0
2012-09-01,1
2012-10-01,2
2012-11-01,4
2012-12-01,8
2013-01-01,8
2013-02-01,7
2013-03-01,14
2013-04-01,21
2013-05-01,34
2013-06-01,32
2013-07-01,31
2013-08-01,23
2013-09-01,22
2013-10-01,29
2013-11-01,33
2013-12-01,42
2014-01-01,55
2014-02-01,48
2014-03-01,51
2014-04-01,66
2014-05-01,82
2014-06-01,69
2014-07-01,61
2014-08-01,64
2014-09-01,67
2014-10-01,58
2014-11-01,70
2014-12-01,72
2015-01-01,92
2015-02-01,94
2015-03-01,71
2015-04-01,68
2015-05-01,75
2015-06-01,81
2015-07-01,79
2015-08-01,77
2015-09-01,75
2015-10-01,68
2015-11-01,64
2015-12-01,72
2016-01-01,79
2016-02-01,67
2016-03-01,77
2016-04-01,91
2016-05-01,83
2016-06-01,96
2016-07-01,97
2016-08-01,89
2016-09-01,85
2016-10-01,91
2016-11-01,84
2016-12-01,100
2017-01-01,100
