date,Snapchat remove friend,remove snapchat friends
2011-01-01,0,0
2011-02-01,0,0
2011-03-01,0,0
2011-04-01,0,0
2011-05-01,0,0
2011-06-01,0,0
2011-07-01,0,0
2011-08-01,0,0
2011-09-01,0,0
2011-10-01,0,0
2011-11-01,0,0
2011-12-01,0,0
2012-01-01,0,0
2012-02-01,0,0
2012-03-01,0,0
2012-04-01,0,0
2012-05-01,0,0
2012-06-01,0,0
2012-07-01,0,1
2012-08-01,0,1
2012-09-01,0,1
2012-10-01,1,1
2012-11-01,2,3
2012-12-01,3,9
2013-01-01,4,8
2013-02-01,3,11
2013-03-01,7,14
2013-04-01,7,21
2013-05-01,11,30
2013-06-01,9,45
2013-07-01,10,28
2013-08-01,10,31
2013-09-01,12,30
2013-10-01,8,33
2013-11-01,8,33
2013-12-01,12,45
2014-01-01,17,57
2014-02-01,16,43
2014-03-01,15,48
2014-04-01,13,42
2014-05-01,14,39
2014-06-01,16,37
2014-07-01,13,54
2014-08-01,12,44
2014-09-01,13,44
2014-10-01,9,33
2014-11-01,14,45
2014-12-01,15,57
2015-01-01,17,98
2015-02-01,7,40
2015-03-01,11,22
2015-04-01,24,24
2015-05-01,32,27
2015-06-01,56,25
2015-07-01,49,31
2015-08-01,48,30
2015-09-01,44,23
2015-10-01,52,24
2015-11-01,52,18
2015-12-01,56,22
2016-01-01,64,24
2016-02-01,63,23
2016-03-01,66,25
2016-04-01,86,27
2016-05-01,87,30
2016-06-01,95,27
2016-07-01,100,30
2016-08-01,87,29
2016-09-01,81,22
2016-10-01,87,25
2016-11-01,80,25
2016-12-01,88,31
2017-01-01,79,32
