date,unfriending on snapchat,remove snapchat friends
2011-01-01,0,0
2011-02-01,0,0
2011-03-01,0,0
2011-04-01,0,0
2011-05-01,0,0
2011-06-01,0,0
2011-07-01,0,0
2011-08-01,0,0
2011-09-01,0,0
2011-10-01,0,0
2011-11-01,0,0
2011-12-01,0,0
2012-01-01,0,0
2012-02-01,0,0
2012-03-01,0,0
2012-04-01,0,0
2012-05-01,0,0
2012-06-01,0,0
2012-07-01,0,1
2012-08-01,0,1
2012-09-01,0,1
2012-10-01,0,0
2012-11-01,0,3
2012-12-01,0,9
2013-01-01,0,7
2013-02-01,0,12
2013-03-01,0,15
2013-04-01,0,20
2013-05-01,0,33
2013-06-01,1,47
2013-07-01,1,29
2013-08-01,0,32
2013-09-01,0,29
2013-10-01,0,34
2013-11-01,1,31
2013-12-01,2,46
2014-01-01,0,63
2014-02-01,0,46
2014-03-01,0,47
2014-04-01,0,41
2014-05-01,2,42
2014-06-01,1,39
2014-07-01,0,54
2014-08-01,1,44
2014-09-01,0,44
2014-10-01,2,33
2014-11-01,0,48
2014-12-01,0,61
2015-01-01,1,100
2015-02-01,2,42
2015-03-01,2,21
2015-04-01,1,24
2015-05-01,2,30
2015-06-01,2,23
2015-07-01,2,30
2015-08-01,2,30
2015-09-01,3,23
2015-10-01,2,24
2015-11-01,3,19
2015-12-01,4,21
2016-01-01,4,25
2016-02-01,5,24
2016-03-01,3,30
2016-04-01,3,29
2016-05-01,3,31
2016-06-01,4,26
2016-07-01,5,30
2016-08-01,3,30
2016-09-01,2,25
2016-10-01,5,23
2016-11-01,3,23
2016-12-01,3,31
2017-01-01,5,37
