date,delete someone snapchat,remove snapchat friends
2011-01-01,0,0
2011-02-01,0,0
2011-03-01,0,0
2011-04-01,0,0
2011-05-01,0,0
2011-06-01,0,0
2011-07-01,0,0
2011-08-01,0,0
2011-09-01,0,0
2011-10-01,0,0
2011-11-01,0,0
2011-12-01,0,0
2012-01-01,0,0
2012-02-01,0,0
2012-03-01,0,0
2012-04-01,0,0
2012-05-01,1,0
2012-06-01,1,0
2012-07-01,1,1
2012-08-01,1,1
2012-09-01,1,1
2012-10-01,3,1
2012-11-01,3,2
2012-12-01,8,5
2013-01-01,9,5
2013-02-01,9,7
2013-03-01,16,8
2013-04-01,18,13
2013-05-01,34,18
2013-06-01,34,27
2013-07-01,28,17
2013-08-01,24,19
2013-09-01,20,18
2013-10-01,28,20
2013-11-01,33,20
2013-12-01,48,27
2014-01-01,58,34
2014-02-01,47,26
2014-03-01,55,29
2014-04-01,63,25
2014-05-01,84,23
2014-06-01,70,22
2014-07-01,66,32
2014-08-01,65,26
2014-09-01,67,26
2014-10-01,61,20
2014-11-01,74,27
2014-12-01,71,34
2015-01-01,99,59
2015-02-01,86,24
2015-03-01,71,13
2015-04-01,74,14
2015-05-01,77,16
2015-06-01,78,15
2015-07-01,82,19
2015-08-01,81,18
2015-09-01,72,14
2015-10-01,69,15
2015-11-01,66,11
2015-12-01,67,13
2016-01-01,78,14
2016-02-01,68,14
2016-03-01,71,15
2016-04-01,85,16
2016-05-01,80,18
2016-06-01,91,16
2016-07-01,100,18
2016-08-01,92,18
2016-09-01,79,13
2016-10-01,84,15
2016-11-01,84,15
2016-12-01,99,18
2017-01-01,100,19
