date,Block user,remove snapchat friends
2011-01-01,72,0
2011-02-01,76,0
2011-03-01,76,0
2011-04-01,75,0
2011-05-01,82,0
2011-06-01,70,0
2011-07-01,71,0
2011-08-01,78,0
2011-09-01,69,0
2011-10-01,66,0
2011-11-01,75,0
2011-12-01,62,0
2012-01-01,71,0
2012-02-01,76,0
2012-03-01,79,0
2012-04-01,77,0
2012-05-01,86,0
2012-06-01,84,0
2012-07-01,91,0
2012-08-01,84,0
2012-09-01,88,0
2012-10-01,90,0
2012-11-01,79,1
2012-12-01,84,2
2013-01-01,91,2
2013-02-01,95,2
2013-03-01,90,3
2013-04-01,92,5
2013-05-01,88,6
2013-06-01,85,9
2013-07-01,99,5
2013-08-01,92,6
2013-09-01,93,6
2013-10-01,93,7
2013-11-01,85,8
2013-12-01,87,10
2014-01-01,98,11
2014-02-01,92,9
2014-03-01,95,10
2014-04-01,99,7
2014-05-01,95,9
2014-06-01,96,7
2014-07-01,95,12
2014-08-01,97,9
2014-09-01,98,9
2014-10-01,88,7
2014-11-01,92,9
2014-12-01,89,11
2015-01-01,95,20
2015-02-01,100,9
2015-03-01,97,5
2015-04-01,98,5
2015-05-01,94,6
2015-06-01,97,6
2015-07-01,96,7
2015-08-01,89,6
2015-09-01,89,5
2015-10-01,84,5
2015-11-01,82,4
2015-12-01,93,5
2016-01-01,90,5
2016-02-01,92,5
2016-03-01,87,5
2016-04-01,89,6
2016-05-01,85,6
2016-06-01,92,5
2016-07-01,92,6
2016-08-01,89,5
2016-09-01,87,4
2016-10-01,90,6
2016-11-01,89,6
2016-12-01,82,7
2017-01-01,90,7
