date,snapchat unfriend,remove snapchat friends
2011-01-01,0,0
2011-02-01,0,0
2011-03-01,0,0
2011-04-01,0,0
2011-05-01,0,0
2011-06-01,0,0
2011-07-01,0,0
2011-08-01,0,0
2011-09-01,0,0
2011-10-01,0,0
2011-11-01,0,0
2011-12-01,0,0
2012-01-01,0,0
2012-02-01,0,0
2012-03-01,0,0
2012-04-01,0,0
2012-05-01,0,0
2012-06-01,0,0
2012-07-01,0,1
2012-08-01,0,1
2012-09-01,0,1
2012-10-01,0,1
2012-11-01,2,3
2012-12-01,3,9
2013-01-01,5,8
2013-02-01,2,11
2013-03-01,2,14
2013-04-01,6,22
2013-05-01,14,31
2013-06-01,10,46
2013-07-01,7,29
2013-08-01,6,32
2013-09-01,5,30
2013-10-01,3,34
2013-11-01,5,34
2013-12-01,9,46
2014-01-01,8,58
2014-02-01,7,44
2014-03-01,7,49
2014-04-01,9,42
2014-05-01,8,40
2014-06-01,10,38
2014-07-01,10,55
2014-08-01,9,44
2014-09-01,11,44
2014-10-01,10,34
2014-11-01,12,46
2014-12-01,14,58
2015-01-01,17,100
2015-02-01,20,41
2015-03-01,17,23
2015-04-01,22,24
2015-05-01,27,27
2015-06-01,29,25
2015-07-01,27,32
2015-08-01,32,30
2015-09-01,29,23
2015-10-01,29,25
2015-11-01,28,18
2015-12-01,28,22
2016-01-01,33,25
2016-02-01,29,23
2016-03-01,36,26
2016-04-01,41,28
2016-05-01,39,30
2016-06-01,43,27
2016-07-01,52,31
2016-08-01,52,30
2016-09-01,44,23
2016-10-01,44,26
2016-11-01,50,26
2016-12-01,52,31
2017-01-01,55,32
