date,how to unfriend on SnapChat,remove snapchat friends
2011-01-01,0,0
2011-02-01,0,0
2011-03-01,0,0
2011-04-01,0,0
2011-05-01,0,0
2011-06-01,0,0
2011-07-01,0,0
2011-08-01,0,0
2011-09-01,0,0
2011-10-01,0,0
2011-11-01,0,0
2011-12-01,0,0
2012-01-01,0,0
2012-02-01,0,0
2012-03-01,0,0
2012-04-01,0,0
2012-05-01,0,0
2012-06-01,0,0
2012-07-01,0,0
2012-08-01,0,1
2012-09-01,0,1
2012-10-01,0,1
2012-11-01,1,3
2012-12-01,2,8
2013-01-01,2,8
2013-02-01,2,10
2013-03-01,3,15
2013-04-01,2,24
2013-05-01,8,32
2013-06-01,5,47
2013-07-01,3,27
2013-08-01,2,28
2013-09-01,3,29
2013-10-01,2,36
2013-11-01,3,38
2013-12-01,3,51
2014-01-01,2,55
2014-02-01,3,45
2014-03-01,2,50
2014-04-01,3,37
2014-05-01,2,43
2014-06-01,5,37
2014-07-01,4,59
2014-08-01,1,47
2014-09-01,3,45
2014-10-01,3,36
2014-11-01,6,47
2014-12-01,5,57
2015-01-01,6,100
2015-02-01,7,44
2015-03-01,6,26
2015-04-01,6,27
2015-05-01,7,28
2015-06-01,8,29
2015-07-01,7,34
2015-08-01,10,31
2015-09-01,10,23
2015-10-01,5,26
2015-11-01,4,18
2015-12-01,7,23
2016-01-01,7,24
2016-02-01,4,26
2016-03-01,8,24
2016-04-01,7,29
2016-05-01,7,29
2016-06-01,6,27
2016-07-01,5,29
2016-08-01,9,27
2016-09-01,7,21
2016-10-01,7,29
2016-11-01,8,28
2016-12-01,9,33
2017-01-01,9,33
