date,twitter privacy
2011-01-01,27
2011-02-01,37
2011-03-01,36
2011-04-01,42
2011-05-01,88
2011-06-01,56
2011-07-01,51
2011-08-01,59
2011-09-01,56
2011-10-01,53
2011-11-01,57
2011-12-01,60
2012-01-01,61
2012-02-01,68
2012-03-01,60
2012-04-01,60
2012-05-01,56
2012-06-01,53
2012-07-01,58
2012-08-01,55
2012-09-01,83
2012-10-01,100
2012-11-01,73
2012-12-01,93
2013-01-01,96
2013-02-01,85
2013-03-01,74
2013-04-01,79
2013-05-01,73
2013-06-01,78
2013-07-01,73
2013-08-01,69
2013-09-01,75
2013-10-01,66
2013-11-01,64
2013-12-01,64
2014-01-01,59
2014-02-01,70
2014-03-01,71
2014-04-01,66
2014-05-01,57
2014-06-01,56
2014-07-01,63
2014-08-01,63
2014-09-01,55
2014-10-01,62
2014-11-01,64
2014-12-01,58
2015-01-01,61
2015-02-01,47
2015-03-01,42
2015-04-01,42
2015-05-01,35
2015-06-01,41
2015-07-01,36
2015-08-01,38
2015-09-01,48
2015-10-01,41
2015-11-01,46
2015-12-01,34
2016-01-01,34
2016-02-01,41
2016-03-01,35
2016-04-01,37
2016-05-01,26
2016-06-01,29
2016-07-01,36
2016-08-01,31
2016-09-01,31
2016-10-01,33
2016-11-01,32
2016-12-01,28
2017-01-01,36
