date,Instagram privacy,instagram privacy policy
2011-01-01,0,0
2011-02-01,0,0
2011-03-01,0,0
2011-04-01,0,0
2011-05-01,1,0
2011-06-01,1,0
2011-07-01,1,0
2011-08-01,0,0
2011-09-01,1,0
2011-10-01,1,0
2011-11-01,2,0
2011-12-01,2,0
2012-01-01,2,1
2012-02-01,2,0
2012-03-01,3,0
2012-04-01,10,1
2012-05-01,11,0
2012-06-01,8,1
2012-07-01,10,0
2012-08-01,10,0
2012-09-01,49,1
2012-10-01,42,1
2012-11-01,36,1
2012-12-01,100,22
2013-01-01,45,6
2013-02-01,27,2
2013-03-01,31,3
2013-04-01,27,2
2013-05-01,30,1
2013-06-01,30,1
2013-07-01,27,1
2013-08-01,29,2
2013-09-01,26,2
2013-10-01,24,2
2013-11-01,22,1
2013-12-01,28,5
2014-01-01,28,2
2014-02-01,28,1
2014-03-01,42,15
2014-04-01,28,2
2014-05-01,28,2
2014-06-01,31,2
2014-07-01,31,2
2014-08-01,32,2
2014-09-01,32,2
2014-10-01,28,1
2014-11-01,31,1
2014-12-01,29,3
2015-01-01,29,3
2015-02-01,26,2
2015-03-01,22,2
2015-04-01,23,1
2015-05-01,22,1
2015-06-01,22,1
2015-07-01,23,1
2015-08-01,20,1
2015-09-01,21,2
2015-10-01,22,2
2015-11-01,22,2
2015-12-01,22,2
2016-01-01,22,2
2016-02-01,23,3
2016-03-01,22,2
2016-04-01,23,2
2016-05-01,21,2
2016-06-01,23,3
2016-07-01,25,3
2016-08-01,23,3
2016-09-01,25,3
2016-10-01,23,2
2016-11-01,24,3
2016-12-01,26,3
2017-01-01,28,3
