date,encrypted phone calls
2011-01-01,22
2011-02-01,23
2011-03-01,42
2011-04-01,23
2011-05-01,42
2011-06-01,43
2011-07-01,50
2011-08-01,30
2011-09-01,20
2011-10-01,44
2011-11-01,38
2011-12-01,25
2012-01-01,51
2012-02-01,35
2012-03-01,44
2012-04-01,47
2012-05-01,59
2012-06-01,34
2012-07-01,33
2012-08-01,49
2012-09-01,38
2012-10-01,44
2012-11-01,52
2012-12-01,40
2013-01-01,32
2013-02-01,37
2013-03-01,22
2013-04-01,36
2013-05-01,35
2013-06-01,100
2013-07-01,58
2013-08-01,48
2013-09-01,52
2013-10-01,45
2013-11-01,67
2013-12-01,59
2014-01-01,55
2014-02-01,47
2014-03-01,72
2014-04-01,30
2014-05-01,56
2014-06-01,58
2014-07-01,60
2014-08-01,30
2014-09-01,50
2014-10-01,47
2014-11-01,41
2014-12-01,44
2015-01-01,75
2015-02-01,81
2015-03-01,55
2015-04-01,83
2015-05-01,36
2015-06-01,37
2015-07-01,48
2015-08-01,44
2015-09-01,57
2015-10-01,54
2015-11-01,62
2015-12-01,71
2016-01-01,53
2016-02-01,60
2016-03-01,62
2016-04-01,86
2016-05-01,50
2016-06-01,71
2016-07-01,55
2016-08-01,60
2016-09-01,94
2016-10-01,54
2016-11-01,88
2016-12-01,81
2017-01-01,63
