date,uber settings,uber privacy policy
2011-01-01,7,0
2011-02-01,9,0
2011-03-01,7,0
2011-04-01,9,0
2011-05-01,7,0
2011-06-01,21,0
2011-07-01,8,0
2011-08-01,9,0
2011-09-01,8,0
2011-10-01,11,0
2011-11-01,7,0
2011-12-01,8,0
2012-01-01,5,0
2012-02-01,7,3
2012-03-01,5,0
2012-04-01,6,0
2012-05-01,11,0
2012-06-01,5,0
2012-07-01,6,0
2012-08-01,4,3
2012-09-01,5,0
2012-10-01,10,0
2012-11-01,9,3
2012-12-01,6,0
2013-01-01,5,0
2013-02-01,3,0
2013-03-01,3,0
2013-04-01,5,3
2013-05-01,4,0
2013-06-01,3,0
2013-07-01,9,0
2013-08-01,10,3
2013-09-01,7,0
2013-10-01,5,0
2013-11-01,5,0
2013-12-01,7,2
2014-01-01,9,5
2014-02-01,7,0
2014-03-01,12,2
2014-04-01,5,2
2014-05-01,11,2
2014-06-01,18,5
2014-07-01,14,3
2014-08-01,23,5
2014-09-01,13,7
2014-10-01,23,5
2014-11-01,27,8
2014-12-01,20,6
2015-01-01,22,6
2015-02-01,19,5
2015-03-01,16,3
2015-04-01,34,6
2015-05-01,63,8
2015-06-01,58,17
2015-07-01,45,11
2015-08-01,35,4
2015-09-01,43,10
2015-10-01,35,7
2015-11-01,42,7
2015-12-01,55,4
2016-01-01,46,9
2016-02-01,46,6
2016-03-01,45,2
2016-04-01,58,11
2016-05-01,60,5
2016-06-01,66,8
2016-07-01,68,5
2016-08-01,77,6
2016-09-01,73,7
2016-10-01,100,12
2016-11-01,92,12
2016-12-01,84,12
2017-01-01,83,9
