date,how to use virtual audio cable
2011-01-01,73
2011-02-01,42
2011-03-01,48
2011-04-01,46
2011-05-01,38
2011-06-01,44
2011-07-01,27
2011-08-01,46
2011-09-01,53
2011-10-01,67
2011-11-01,57
2011-12-01,33
2012-01-01,43
2012-02-01,54
2012-03-01,47
2012-04-01,49
2012-05-01,37
2012-06-01,51
2012-07-01,72
2012-08-01,88
2012-09-01,58
2012-10-01,57
2012-11-01,34
2012-12-01,46
2013-01-01,69
2013-02-01,65
2013-03-01,74
2013-04-01,72
2013-05-01,57
2013-06-01,73
2013-07-01,58
2013-08-01,60
2013-09-01,83
2013-10-01,69
2013-11-01,32
2013-12-01,83
2014-01-01,90
2014-02-01,68
2014-03-01,64
2014-04-01,54
2014-05-01,61
2014-06-01,85
2014-07-01,79
2014-08-01,86
2014-09-01,45
2014-10-01,78
2014-11-01,56
2014-12-01,49
2015-01-01,74
2015-02-01,58
2015-03-01,62
2015-04-01,46
2015-05-01,61
2015-06-01,66
2015-07-01,64
2015-08-01,61
2015-09-01,77
2015-10-01,72
2015-11-01,71
2015-12-01,100
2016-01-01,74
2016-02-01,63
2016-03-01,78
2016-04-01,49
2016-05-01,66
2016-06-01,54
2016-07-01,47
2016-08-01,63
2016-09-01,31
2016-10-01,66
2016-11-01,37
2016-12-01,48
2017-01-01,61
