date,how to record skype calls on android
2011-01-01,0
2011-02-01,0
2011-03-01,0
2011-04-01,0
2011-05-01,0
2011-06-01,0
2011-07-01,26
2011-08-01,48
2011-09-01,22
2011-10-01,22
2011-11-01,22
2011-12-01,22
2012-01-01,37
2012-02-01,52
2012-03-01,26
2012-04-01,21
2012-05-01,20
2012-06-01,20
2012-07-01,33
2012-08-01,29
2012-09-01,19
2012-10-01,53
2012-11-01,24
2012-12-01,30
2013-01-01,16
2013-02-01,24
2013-03-01,32
2013-04-01,32
2013-05-01,47
2013-06-01,27
2013-07-01,24
2013-08-01,24
2013-09-01,46
2013-10-01,34
2013-11-01,30
2013-12-01,37
2014-01-01,56
2014-02-01,66
2014-03-01,45
2014-04-01,28
2014-05-01,43
2014-06-01,58
2014-07-01,56
2014-08-01,67
2014-09-01,45
2014-10-01,52
2014-11-01,58
2014-12-01,57
2015-01-01,60
2015-02-01,62
2015-03-01,92
2015-04-01,67
2015-05-01,65
2015-06-01,53
2015-07-01,44
2015-08-01,43
2015-09-01,47
2015-10-01,77
2015-11-01,58
2015-12-01,51
2016-01-01,59
2016-02-01,28
2016-03-01,33
2016-04-01,72
2016-05-01,72
2016-06-01,69
2016-07-01,66
2016-08-01,68
2016-09-01,78
2016-10-01,82
2016-11-01,86
2016-12-01,100
2017-01-01,64
