date,record skype video free
2011-01-01,69
2011-02-01,68
2011-03-01,43
2011-04-01,50
2011-05-01,56
2011-06-01,69
2011-07-01,78
2011-08-01,61
2011-09-01,71
2011-10-01,75
2011-11-01,77
2011-12-01,69
2012-01-01,89
2012-02-01,100
2012-03-01,95
2012-04-01,79
2012-05-01,68
2012-06-01,65
2012-07-01,83
2012-08-01,99
2012-09-01,81
2012-10-01,68
2012-11-01,68
2012-12-01,71
2013-01-01,63
2013-02-01,64
2013-03-01,66
2013-04-01,62
2013-05-01,50
2013-06-01,61
2013-07-01,55
2013-08-01,59
2013-09-01,43
2013-10-01,45
2013-11-01,42
2013-12-01,51
2014-01-01,42
2014-02-01,37
2014-03-01,52
2014-04-01,39
2014-05-01,34
2014-06-01,30
2014-07-01,35
2014-08-01,43
2014-09-01,38
2014-10-01,44
2014-11-01,34
2014-12-01,41
2015-01-01,38
2015-02-01,43
2015-03-01,41
2015-04-01,42
2015-05-01,33
2015-06-01,41
2015-07-01,44
2015-08-01,33
2015-09-01,40
2015-10-01,32
2015-11-01,30
2015-12-01,32
2016-01-01,36
2016-02-01,37
2016-03-01,33
2016-04-01,29
2016-05-01,26
2016-06-01,26
2016-07-01,37
2016-08-01,26
2016-09-01,19
2016-10-01,24
2016-11-01,22
2016-12-01,21
2017-01-01,25
