date,virtual audio cable alternative
2011-01-01,55
2011-02-01,52
2011-03-01,70
2011-04-01,67
2011-05-01,36
2011-06-01,53
2011-07-01,63
2011-08-01,60
2011-09-01,58
2011-10-01,55
2011-11-01,88
2011-12-01,86
2012-01-01,84
2012-02-01,78
2012-03-01,99
2012-04-01,73
2012-05-01,72
2012-06-01,70
2012-07-01,66
2012-08-01,93
2012-09-01,60
2012-10-01,48
2012-11-01,81
2012-12-01,59
2013-01-01,87
2013-02-01,100
2013-03-01,69
2013-04-01,40
2013-05-01,49
2013-06-01,67
2013-07-01,56
2013-08-01,75
2013-09-01,80
2013-10-01,79
2013-11-01,89
2013-12-01,84
2014-01-01,72
2014-02-01,72
2014-03-01,93
2014-04-01,94
2014-05-01,59
2014-06-01,53
2014-07-01,70
2014-08-01,64
2014-09-01,52
2014-10-01,64
2014-11-01,84
2014-12-01,97
2015-01-01,90
2015-02-01,80
2015-03-01,87
2015-04-01,66
2015-05-01,81
2015-06-01,61
2015-07-01,57
2015-08-01,76
2015-09-01,66
2015-10-01,83
2015-11-01,46
2015-12-01,73
2016-01-01,84
2016-02-01,83
2016-03-01,73
2016-04-01,66
2016-05-01,46
2016-06-01,50
2016-07-01,50
2016-08-01,47
2016-09-01,58
2016-10-01,48
2016-11-01,27
2016-12-01,62
2017-01-01,42
