date,skype privacy policy
2011-01-01,47
2011-02-01,37
2011-03-01,44
2011-04-01,36
2011-05-01,100
2011-06-01,34
2011-07-01,57
2011-08-01,64
2011-09-01,83
2011-10-01,30
2011-11-01,50
2011-12-01,44
2012-01-01,81
2012-02-01,74
2012-03-01,66
2012-04-01,28
2012-05-01,77
2012-06-01,66
2012-07-01,66
2012-08-01,91
2012-09-01,39
2012-10-01,48
2012-11-01,36
2012-12-01,22
2013-01-01,22
2013-02-01,47
2013-03-01,84
2013-04-01,65
2013-05-01,35
2013-06-01,32
2013-07-01,70
2013-08-01,42
2013-09-01,41
2013-10-01,19
2013-11-01,53
2013-12-01,33
2014-01-01,50
2014-02-01,56
2014-03-01,63
2014-04-01,28
2014-05-01,25
2014-06-01,42
2014-07-01,41
2014-08-01,21
2014-09-01,46
2014-10-01,38
2014-11-01,48
2014-12-01,47
2015-01-01,65
2015-02-01,77
2015-03-01,53
2015-04-01,18
2015-05-01,52
2015-06-01,47
2015-07-01,47
2015-08-01,40
2015-09-01,57
2015-10-01,32
2015-11-01,33
2015-12-01,22
2016-01-01,42
2016-02-01,52
2016-03-01,22
2016-04-01,36
2016-05-01,29
2016-06-01,25
2016-07-01,41
2016-08-01,45
2016-09-01,15
2016-10-01,57
2016-11-01,29
2016-12-01,29
2017-01-01,27
