date,dxtory recording
2011-01-01,3
2011-02-01,3
2011-03-01,4
2011-04-01,3
2011-05-01,3
2011-06-01,5
2011-07-01,4
2011-08-01,7
2011-09-01,7
2011-10-01,15
2011-11-01,12
2011-12-01,10
2012-01-01,23
2012-02-01,31
2012-03-01,27
2012-04-01,41
2012-05-01,44
2012-06-01,36
2012-07-01,57
2012-08-01,72
2012-09-01,54
2012-10-01,59
2012-11-01,66
2012-12-01,75
2013-01-01,85
2013-02-01,91
2013-03-01,87
2013-04-01,75
2013-05-01,81
2013-06-01,83
2013-07-01,86
2013-08-01,82
2013-09-01,70
2013-10-01,68
2013-11-01,81
2013-12-01,81
2014-01-01,100
2014-02-01,91
2014-03-01,83
2014-04-01,74
2014-05-01,87
2014-06-01,80
2014-07-01,84
2014-08-01,95
2014-09-01,72
2014-10-01,61
2014-11-01,81
2014-12-01,82
2015-01-01,88
2015-02-01,86
2015-03-01,63
2015-04-01,69
2015-05-01,59
2015-06-01,68
2015-07-01,84
2015-08-01,83
2015-09-01,67
2015-10-01,59
2015-11-01,60
2015-12-01,65
2016-01-01,76
2016-02-01,69
2016-03-01,58
2016-04-01,61
2016-05-01,53
2016-06-01,56
2016-07-01,46
2016-08-01,41
2016-09-01,31
2016-10-01,25
2016-11-01,27
2016-12-01,29
2017-01-01,29
