date,best skype video recorder
2011-01-01,48
2011-02-01,42
2011-03-01,37
2011-04-01,24
2011-05-01,38
2011-06-01,38
2011-07-01,31
2011-08-01,58
2011-09-01,42
2011-10-01,60
2011-11-01,67
2011-12-01,33
2012-01-01,36
2012-02-01,57
2012-03-01,36
2012-04-01,50
2012-05-01,52
2012-06-01,42
2012-07-01,71
2012-08-01,100
2012-09-01,64
2012-10-01,32
2012-11-01,53
2012-12-01,69
2013-01-01,34
2013-02-01,54
2013-03-01,38
2013-04-01,82
2013-05-01,52
2013-06-01,58
2013-07-01,62
2013-08-01,42
2013-09-01,9
2013-10-01,35
2013-11-01,31
2013-12-01,41
2014-01-01,59
2014-02-01,32
2014-03-01,53
2014-04-01,30
2014-05-01,26
2014-06-01,38
2014-07-01,51
2014-08-01,74
2014-09-01,36
2014-10-01,59
2014-11-01,74
2014-12-01,64
2015-01-01,79
2015-02-01,34
2015-03-01,55
2015-04-01,44
2015-05-01,24
2015-06-01,44
2015-07-01,71
2015-08-01,51
2015-09-01,54
2015-10-01,33
2015-11-01,48
2015-12-01,57
2016-01-01,46
2016-02-01,36
2016-03-01,36
2016-04-01,55
2016-05-01,60
2016-06-01,17
2016-07-01,35
2016-08-01,30
2016-09-01,24
2016-10-01,64
2016-11-01,58
2016-12-01,58
2017-01-01,64
