date,dxtory download
2011-01-01,1
2011-02-01,2
2011-03-01,1
2011-04-01,5
2011-05-01,2
2011-06-01,5
2011-07-01,3
2011-08-01,7
2011-09-01,12
2011-10-01,15
2011-11-01,14
2011-12-01,21
2012-01-01,25
2012-02-01,35
2012-03-01,37
2012-04-01,54
2012-05-01,59
2012-06-01,60
2012-07-01,73
2012-08-01,80
2012-09-01,72
2012-10-01,72
2012-11-01,70
2012-12-01,74
2013-01-01,96
2013-02-01,79
2013-03-01,74
2013-04-01,81
2013-05-01,74
2013-06-01,93
2013-07-01,100
2013-08-01,100
2013-09-01,92
2013-10-01,78
2013-11-01,87
2013-12-01,80
2014-01-01,85
2014-02-01,81
2014-03-01,76
2014-04-01,68
2014-05-01,69
2014-06-01,71
2014-07-01,63
2014-08-01,71
2014-09-01,58
2014-10-01,56
2014-11-01,63
2014-12-01,61
2015-01-01,64
2015-02-01,65
2015-03-01,58
2015-04-01,52
2015-05-01,54
2015-06-01,49
2015-07-01,56
2015-08-01,61
2015-09-01,43
2015-10-01,41
2015-11-01,41
2015-12-01,46
2016-01-01,43
2016-02-01,37
2016-03-01,37
2016-04-01,39
2016-05-01,33
2016-06-01,37
2016-07-01,36
2016-08-01,30
2016-09-01,27
2016-10-01,24
2016-11-01,22
2016-12-01,27
2017-01-01,26
