date,schedule a google hangout
2011-01-01,0
2011-02-01,0
2011-03-01,0
2011-04-01,0
2011-05-01,0
2011-06-01,0
2011-07-01,11
2011-08-01,21
2011-09-01,10
2011-10-01,10
2011-11-01,24
2011-12-01,39
2012-01-01,18
2012-02-01,9
2012-03-01,9
2012-04-01,9
2012-05-01,11
2012-06-01,13
2012-07-01,20
2012-08-01,20
2012-09-01,51
2012-10-01,36
2012-11-01,21
2012-12-01,21
2013-01-01,31
2013-02-01,55
2013-03-01,67
2013-04-01,78
2013-05-01,67
2013-06-01,74
2013-07-01,72
2013-08-01,64
2013-09-01,75
2013-10-01,54
2013-11-01,72
2013-12-01,66
2014-01-01,92
2014-02-01,85
2014-03-01,68
2014-04-01,83
2014-05-01,40
2014-06-01,56
2014-07-01,66
2014-08-01,100
2014-09-01,46
2014-10-01,50
2014-11-01,53
2014-12-01,58
2015-01-01,57
2015-02-01,57
2015-03-01,46
2015-04-01,85
2015-05-01,46
2015-06-01,74
2015-07-01,75
2015-08-01,48
2015-09-01,45
2015-10-01,66
2015-11-01,69
2015-12-01,54
2016-01-01,85
2016-02-01,97
2016-03-01,76
2016-04-01,87
2016-05-01,70
2016-06-01,100
2016-07-01,58
2016-08-01,56
2016-09-01,81
2016-10-01,83
2016-11-01,57
2016-12-01,42
2017-01-01,58
