date,Delete my google account,deleting google account,google faqs,how do i delete a google account,How do I delete my google account,How to close a google account,how to delete a google account,how to delete google account,How to delete my gmail,how to permanently delete google account,how to remove my information from google,I want to delete my google account,permanently delete Google account,remove google account,Total
1/1/11,31,14,16,5,11,4,34,104,30,2,2,1,7,43,304
2/1/11,38,17,10,5,14,4,29,97,42,3,2,2,7,53,323
3/1/11,35,16,14,4,11,4,32,100,32,4,2,0,7,43,304
4/1/11,33,18,14,6,13,3,32,100,48,5,1,1,9,48,331
5/1/11,39,16,22,5,15,5,34,120,42,5,2,4,9,48,366
6/1/11,45,20,17,10,20,6,44,139,52,7,1,1,8,58,428
7/1/11,62,33,15,10,18,8,59,197,56,9,1,3,13,72,556
8/1/11,49,27,14,9,16,8,54,177,50,8,2,2,13,67,496
9/1/11,66,24,16,9,25,6,58,185,53,13,3,2,14,72,546
10/1/11,67,22,14,10,21,7,51,189,55,7,2,4,10,67,526
11/1/11,64,22,12,6,21,5,53,197,60,7,2,3,9,72,533
12/1/11,64,18,15,6,22,6,50,204,64,6,2,2,9,86,554
1/1/12,73,23,13,14,26,10,54,189,55,11,3,1,14,72,558
2/1/12,61,26,11,7,22,7,41,170,50,8,2,2,13,81,501
3/1/12,60,18,9,9,24,5,38,158,55,8,2,2,14,86,488
4/1/12,56,18,10,9,21,8,47,158,52,7,2,3,13,86,490
5/1/12,60,15,10,6,18,6,44,158,57,8,1,4,10,81,478
6/1/12,60,20,13,10,23,7,53,162,55,9,2,1,13,96,524
7/1/12,63,17,10,11,22,7,51,189,59,9,2,3,12,100,555
8/1/12,67,23,9,10,21,4,65,189,66,8,2,3,11,115,593
9/1/12,64,18,10,9,20,6,54,177,58,9,2,2,13,105,547
10/1/12,57,18,9,8,22,5,46,170,66,6,2,4,11,105,529
11/1/12,60,17,11,9,19,5,44,177,66,5,2,3,7,100,525
12/1/12,73,22,11,7,26,7,60,212,64,8,2,1,12,129,634
1/1/13,73,21,11,10,22,5,56,200,72,10,2,2,11,115,610
2/1/13,70,24,9,10,27,7,55,204,66,10,1,3,14,124,624
3/1/13,67,21,11,10,27,5,57,208,74,8,2,2,14,124,630
4/1/13,67,20,10,11,26,8,57,204,73,8,2,4,13,120,623
5/1/13,76,17,9,10,26,7,69,227,73,9,2,3,14,124,666
6/1/13,78,23,10,9,23,7,66,239,77,8,2,4,13,143,702
7/1/13,86,21,10,14,27,7,72,258,74,9,3,6,13,153,753
8/1/13,91,25,11,14,29,7,79,266,85,8,1,2,18,162,798
9/1/13,82,24,12,13,23,6,66,254,82,11,2,3,16,153,747
10/1/13,91,26,12,12,33,7,76,243,80,10,2,3,16,158,769
11/1/13,94,23,10,14,27,6,72,258,84,10,1,2,14,162,777
12/1/13,101,25,12,15,33,6,80,285,97,13,2,3,17,186,875
1/1/14,107,29,9,20,39,9,99,308,104,14,3,4,21,200,966
2/1/14,96,25,9,16,30,7,88,281,92,12,1,3,21,191,872
3/1/14,94,23,11,14,28,6,85,281,98,9,2,5,16,186,858
4/1/14,92,30,10,14,28,5,76,277,91,6,2,4,12,181,828
5/1/14,81,30,9,15,25,7,85,266,80,8,3,4,12,186,811
6/1/14,86,29,11,11,24,7,73,274,77,11,3,5,15,191,817
7/1/14,93,32,7,13,26,6,93,304,84,11,3,5,17,210,904
8/1/14,99,28,9,13,26,7,82,304,87,11,1,4,16,215,902
9/1/14,91,30,13,16,29,8,82,289,85,11,2,3,15,215,889
10/1/14,85,27,10,16,26,6,77,285,85,9,3,3,17,200,849
11/1/14,84,26,9,10,21,7,82,281,88,9,3,3,15,205,843
12/1/14,85,27,7,11,24,4,77,285,83,12,2,4,16,215,852
1/1/15,91,23,11,14,26,5,79,277,82,10,2,3,14,224,861
2/1/15,86,24,10,10,23,5,70,258,79,7,1,4,13,205,795
3/1/15,80,24,8,11,19,5,78,262,79,9,2,3,14,210,804
4/1/15,86,23,8,9,21,5,68,266,81,10,2,3,15,220,817
5/1/15,84,26,9,11,21,4,80,262,77,9,2,4,15,234,838
6/1/15,92,23,9,12,23,5,80,285,83,8,2,5,11,243,881
7/1/15,102,28,10,13,25,5,87,304,90,12,2,4,17,253,952
8/1/15,97,26,10,11,26,5,87,320,87,10,2,3,17,272,973
9/1/15,99,22,9,12,24,7,78,285,86,11,2,5,14,277,931
10/1/15,91,21,9,13,23,6,76,266,85,10,1,3,13,277,894
11/1/15,87,20,9,12,20,5,67,266,80,8,2,4,13,272,865
12/1/15,90,22,7,13,24,5,79,289,78,10,2,5,15,296,935
1/1/16,104,24,8,15,26,5,89,316,97,11,2,5,18,329,1049
2/1/16,90,22,8,11,21,6,76,285,80,8,3,4,15,315,944
3/1/16,92,20,9,8,20,5,72,277,79,11,2,4,17,329,945
4/1/16,92,22,8,13,21,5,75,266,80,10,2,4,18,339,955
5/1/16,91,21,7,12,17,5,75,266,84,10,2,4,17,353,964
6/1/16,99,21,9,13,22,5,85,293,90,12,2,4,17,377,1049
7/1/16,121,25,8,14,27,5,100,385,95,14,3,5,20,462,1284
8/1/16,114,25,8,15,27,7,96,343,98,16,3,5,21,477,1255
9/1/16,108,23,10,13,26,5,89,324,96,12,2,5,20,448,1181
10/1/16,103,22,9,11,22,6,83,312,91,10,2,6,18,453,1148
11/1/16,105,20,7,15,23,5,79,300,91,10,2,2,17,448,1124
12/1/16,115,21,7,14,26,7,96,339,102,16,2,4,21,472,1242
1/1/17,116,22,7,16,28,5,92,331,100,15,1,5,23,458,1219
