date,delete my facebook account,how to delete a facebook account,Total
1/1/11,92,75,167
2/1/11,85,62,147
3/1/11,80,54,134
4/1/11,82,53,135
5/1/11,84,57,141
6/1/11,102,61,163
7/1/11,107,70,177
8/1/11,139,81,220
9/1/11,147,81,228
10/1/11,139,88,227
11/1/11,149,100,249
12/1/11,165,87,252
1/1/12,167,89,256
2/1/12,154,92,246
3/1/12,154,85,239
4/1/12,115,66,181
5/1/12,115,64,179
6/1/12,114,69,183
7/1/12,109,89,198
8/1/12,109,87,196
9/1/12,109,66,175
10/1/12,114,56,170
11/1/12,107,76,183
12/1/12,102,78,180
1/1/13,97,69,166
2/1/13,112,65,177
3/1/13,104,66,170
4/1/13,97,73,170
5/1/13,92,53,145
6/1/13,90,59,149
7/1/13,109,71,180
8/1/13,109,69,178
9/1/13,87,49,136
10/1/13,80,54,134
11/1/13,90,54,144
12/1/13,105,69,174
1/1/14,99,59,158
2/1/14,92,49,141
3/1/14,84,48,132
4/1/14,87,59,146
5/1/14,97,60,157
6/1/14,102,53,155
7/1/14,97,57,154
8/1/14,97,57,154
9/1/14,97,58,155
10/1/14,84,52,136
11/1/14,89,52,141
12/1/14,95,56,151
1/1/15,92,57,149
2/1/15,95,54,149
3/1/15,92,58,150
4/1/15,89,69,158
5/1/15,89,53,142
6/1/15,102,49,151
7/1/15,100,62,162
8/1/15,110,66,176
9/1/15,99,55,154
10/1/15,90,46,136
11/1/15,87,43,130
12/1/15,89,50,139
1/1/16,104,61,165
2/1/16,94,61,155
3/1/16,94,49,143
4/1/16,90,50,140
5/1/16,94,51,145
6/1/16,114,71,185
7/1/16,110,68,178
8/1/16,94,54,148
9/1/16,105,54,159
10/1/16,105,55,160
11/1/16,119,69,188
12/1/16,114,60,174
1/1/17,115,61,176
