date,encrypt emails
2011-01-01,42
2011-02-01,39
2011-03-01,40
2011-04-01,100
2011-05-01,53
2011-06-01,41
2011-07-01,45
2011-08-01,56
2011-09-01,71
2011-10-01,63
2011-11-01,48
2011-12-01,47
2012-01-01,36
2012-02-01,45
2012-03-01,56
2012-04-01,52
2012-05-01,41
2012-06-01,35
2012-07-01,53
2012-08-01,59
2012-09-01,42
2012-10-01,38
2012-11-01,76
2012-12-01,44
2013-01-01,35
2013-02-01,70
2013-03-01,65
2013-04-01,72
2013-05-01,53
2013-06-01,80
2013-07-01,81
2013-08-01,70
2013-09-01,63
2013-10-01,52
2013-11-01,56
2013-12-01,53
2014-01-01,84
2014-02-01,51
2014-03-01,53
2014-04-01,78
2014-05-01,64
2014-06-01,56
2014-07-01,69
2014-08-01,41
2014-09-01,58
2014-10-01,55
2014-11-01,72
2014-12-01,61
2015-01-01,48
2015-02-01,64
2015-03-01,49
2015-04-01,43
2015-05-01,60
2015-06-01,62
2015-07-01,61
2015-08-01,46
2015-09-01,72
2015-10-01,49
2015-11-01,33
2015-12-01,49
2016-01-01,61
2016-02-01,80
2016-03-01,79
2016-04-01,69
2016-05-01,57
2016-06-01,64
2016-07-01,64
2016-08-01,66
2016-09-01,60
2016-10-01,70
2016-11-01,94
2016-12-01,77
2017-01-01,95
