date,facebook and privacy issues,facebook app privacy,Facebook privacy issues,Facebook privacy policy,facebook privacy settings,facebook security issues,Total
1/1/11,1,2,13,6,45,5,72
2/1/11,2,2,11,6,36,4,61
3/1/11,2,2,9,8,37,4,62
4/1/11,1,2,10,9,33,4,59
5/1/11,1,3,7,8,38,7,64
6/1/11,1,2,6,6,45,5,65
7/1/11,1,3,8,8,38,4,62
8/1/11,1,3,7,8,53,4,76
9/1/11,1,4,11,6,89,5,116
10/1/11,2,3,10,6,63,4,88
11/1/11,1,3,10,7,55,5,81
12/1/11,1,4,9,5,55,4,78
1/1/12,1,4,9,8,57,4,83
2/1/12,2,4,10,11,54,3,84
3/1/12,2,4,10,11,44,3,74
4/1/12,1,5,8,10,51,3,78
5/1/12,1,3,7,8,46,2,67
6/1/12,1,4,7,11,48,3,74
7/1/12,1,4,5,9,44,3,66
8/1/12,1,4,4,6,60,3,78
9/1/12,1,10,9,6,83,3,112
10/1/12,2,10,11,10,73,2,108
11/1/12,1,6,7,16,66,1,97
12/1/12,1,6,7,14,68,2,98
1/1/13,1,6,4,8,64,3,86
2/1/13,1,13,7,10,64,3,98
3/1/13,1,21,6,9,75,2,114
4/1/13,1,5,5,8,50,2,71
5/1/13,1,9,5,6,49,1,71
6/1/13,1,6,4,6,48,2,67
7/1/13,0,17,7,6,58,1,89
8/1/13,0,5,3,5,47,2,62
9/1/13,1,9,3,9,48,1,71
10/1/13,1,12,6,28,68,2,117
11/1/13,1,5,4,7,41,2,60
12/1/13,1,5,3,6,37,1,53
1/1/14,1,4,3,5,36,1,50
2/1/14,1,5,3,7,34,2,52
3/1/14,1,4,5,6,32,2,50
4/1/14,1,4,4,6,32,3,50
5/1/14,1,6,3,8,35,1,54
6/1/14,1,5,3,7,33,1,50
7/1/14,0,5,2,6,31,1,45
8/1/14,1,43,18,11,38,5,116
9/1/14,1,17,9,9,34,3,73
10/1/14,1,14,6,9,31,2,63
11/1/14,1,12,6,12,30,2,63
12/1/14,1,10,5,15,34,1,66
1/1/15,1,8,14,100,38,1,162
2/1/15,1,5,3,10,27,1,47
3/1/15,1,5,3,8,29,1,47
4/1/15,1,4,2,7,27,1,42
5/1/15,1,3,3,6,29,1,43
6/1/15,1,4,2,6,27,1,41
7/1/15,0,5,2,6,29,1,43
8/1/15,0,4,2,6,29,1,42
9/1/15,1,5,5,99,44,1,155
10/1/15,1,4,3,13,27,2,50
11/1/15,1,4,2,6,26,1,40
12/1/15,0,4,2,5,23,1,35
1/1/16,0,3,2,6,23,1,35
2/1/16,0,4,2,7,23,1,37
3/1/16,0,3,2,6,21,1,33
4/1/16,0,3,2,6,22,1,34
5/1/16,1,4,1,6,22,1,35
6/1/16,0,5,3,41,30,1,80
7/1/16,1,5,2,44,26,1,79
8/1/16,0,5,1,8,22,1,37
9/1/16,1,5,2,8,25,1,42
10/1/16,1,5,3,53,25,1,88
11/1/16,0,4,2,7,21,1,35
12/1/16,0,5,1,7,21,1,35
1/1/17,0,5,2,9,23,2,41
