date,How to make tweets private,Total
1/1/11,7,7
2/1/11,7,7
3/1/11,6,6
4/1/11,7,7
5/1/11,23,23
6/1/11,13,13
7/1/11,20,20
8/1/11,12,12
9/1/11,6,6
10/1/11,14,14
11/1/11,17,17
12/1/11,17,17
1/1/12,21,21
2/1/12,41,41
3/1/12,33,33
4/1/12,41,41
5/1/12,27,27
6/1/12,44,44
7/1/12,33,33
8/1/12,48,48
9/1/12,61,61
10/1/12,53,53
11/1/12,35,35
12/1/12,53,53
1/1/13,63,63
2/1/13,58,58
3/1/13,60,60
4/1/13,62,62
5/1/13,55,55
6/1/13,67,67
7/1/13,92,92
8/1/13,100,100
9/1/13,72,72
10/1/13,40,40
11/1/13,48,48
12/1/13,69,69
1/1/14,83,83
2/1/14,79,79
3/1/14,50,50
4/1/14,57,57
5/1/14,50,50
6/1/14,89,89
7/1/14,62,62
8/1/14,64,64
9/1/14,64,64
10/1/14,49,49
11/1/14,80,80
12/1/14,44,44
1/1/15,48,48
2/1/15,22,22
3/1/15,20,20
4/1/15,24,24
5/1/15,32,32
6/1/15,31,31
7/1/15,22,22
8/1/15,24,24
9/1/15,23,23
10/1/15,13,13
11/1/15,22,22
12/1/15,16,16
1/1/16,25,25
2/1/16,24,24
3/1/16,20,20
4/1/16,15,15
5/1/16,11,11
6/1/16,10,10
7/1/16,5,5
8/1/16,9,9
9/1/16,9,9
10/1/16,19,19
11/1/16,11,11
12/1/16,6,6
1/1/17,13,13
