date,gmail privacy issues,gmail privacy policy,gmail privacy settings,Total
1/1/11,66,88,33,187
2/1/11,69,69,88,226
3/1/11,52,75,104,231
4/1/11,100,69,78,247
5/1/11,83,32,94,209
6/1/11,43,69,65,177
7/1/11,43,100,107,250
8/1/11,40,94,100,234
9/1/11,79,132,68,279
10/1/11,56,132,65,253
11/1/11,28,132,113,273
12/1/11,37,88,104,229
1/1/12,93,269,126,488
2/1/12,70,625,220,915
3/1/12,49,375,323,747
4/1/12,39,144,139,322
5/1/12,32,69,136,237
6/1/12,50,88,100,238
7/1/12,49,50,84,183
8/1/12,37,119,91,247
9/1/12,61,82,113,256
10/1/12,22,119,149,290
11/1/12,37,113,120,270
12/1/12,56,57,181,294
1/1/13,40,57,81,178
2/1/13,52,132,120,304
3/1/13,40,100,146,286
4/1/13,54,88,107,249
5/1/13,39,94,104,237
6/1/13,61,107,168,336
7/1/13,39,69,133,241
8/1/13,72,213,146,431
9/1/13,45,50,149,244
10/1/13,61,163,171,395
11/1/13,43,125,181,349
12/1/13,50,100,194,344
1/1/14,52,138,175,365
2/1/14,38,107,162,307
3/1/14,34,107,191,332
4/1/14,53,163,155,371
5/1/14,48,169,162,379
6/1/14,40,75,194,309
7/1/14,32,75,155,262
8/1/14,19,113,104,236
9/1/14,28,94,142,264
10/1/14,18,157,171,346
11/1/14,48,100,139,287
12/1/14,27,132,184,343
1/1/15,17,100,188,305
2/1/15,42,88,152,282
3/1/15,16,88,159,263
4/1/15,28,119,97,244
5/1/15,25,94,100,219
6/1/15,25,132,194,351
7/1/15,25,113,197,335
8/1/15,25,125,223,373
9/1/15,24,144,155,323
10/1/15,30,75,188,293
11/1/15,41,88,171,300
12/1/15,21,75,149,245
1/1/16,37,100,136,273
2/1/16,52,94,155,301
3/1/16,28,119,117,264
4/1/16,36,88,126,250
5/1/16,14,107,139,260
6/1/16,14,107,88,209
7/1/16,34,125,197,356
8/1/16,28,125,155,308
9/1/16,49,132,123,304
10/1/16,20,125,94,239
11/1/16,40,132,136,308
12/1/16,20,132,94,246
1/1/17,25,107,133,265
